
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Bihor, 28941 CURATELE, Anul 2012, Numar persoane, 38
0- 4 ani, Masculin, Bihor, 29001 CURTUISENI, Anul 2007, Numar persoane, 153
0- 4 ani, Masculin, Bihor, 29001 CURTUISENI, Anul 2008, Numar persoane, 159
0- 4 ani, Masculin, Bihor, 29001 CURTUISENI, Anul 2009, Numar persoane, 172
0- 4 ani, Masculin, Bihor, 29001 CURTUISENI, Anul 2010, Numar persoane, 175
0- 4 ani, Masculin, Bihor, 29001 CURTUISENI, Anul 2011, Numar persoane, 180
0- 4 ani, Masculin, Bihor, 29001 CURTUISENI, Anul 2012, Numar persoane, 168
0- 4 ani, Masculin, Bihor, 29038 DERNA, Anul 2007, Numar persoane, 83
0- 4 ani, Masculin, Bihor, 29038 DERNA, Anul 2008, Numar persoane, 88
0- 4 ani, Masculin, Bihor, 29038 DERNA, Anul 2009, Numar persoane, 84
0- 4 ani, Masculin, Bihor, 29038 DERNA, Anul 2010, Numar persoane, 72
0- 4 ani, Masculin, Bihor, 29038 DERNA, Anul 2011, Numar persoane, 60
0- 4 ani, Masculin, Bihor, 29038 DERNA, Anul 2012, Numar persoane, 58
0- 4 ani, Masculin, Bihor, 29092 DIOSIG, Anul 2007, Numar persoane, 267
0- 4 ani, Masculin, Bihor, 29092 DIOSIG, Anul 2008, Numar persoane, 266
0- 4 ani, Masculin, Bihor, 29092 DIOSIG, Anul 2009, Numar persoane, 271
0- 4 ani, Masculin, Bihor, 29092 DIOSIG, Anul 2010, Numar persoane, 263
0- 4 ani, Masculin, Bihor, 29092 DIOSIG, Anul 2011, Numar persoane, 256
0- 4 ani, Masculin, Bihor, 29092 DIOSIG, Anul 2012, Numar persoane, 228
0- 4 ani, Masculin, Bihor, 29154 DOBRESTI, Anul 2007, Numar persoane, 228
0- 4 ani, Masculin, Bihor, 29154 DOBRESTI, Anul 2008, Numar persoane, 237
0- 4 ani, Masculin, Bihor, 29154 DOBRESTI, Anul 2009, Numar persoane, 227
0- 4 ani, Masculin, Bihor, 29154 DOBRESTI, Anul 2010, Numar persoane, 203
0- 4 ani, Masculin, Bihor, 29154 DOBRESTI, Anul 2011, Numar persoane, 195
0- 4 ani, Masculin, Bihor, 29154 DOBRESTI, Anul 2012, Numar persoane, 181
0- 4 ani, Masculin, Bihor, 29243 DRAGANESTI, Anul 2007, Numar persoane, 67
0- 4 ani, Masculin, Bihor, 29243 DRAGANESTI, Anul 2008, Numar persoane, 68
0- 4 ani, Masculin, Bihor, 29243 DRAGANESTI, Anul 2009, Numar persoane, 67
0- 4 ani, Masculin, Bihor, 29243 DRAGANESTI, Anul 2010, Numar persoane, 66
0- 4 ani, Masculin, Bihor, 29243 DRAGANESTI, Anul 2011, Numar persoane, 71
0- 4 ani, Masculin, Bihor, 29243 DRAGANESTI, Anul 2012, Numar persoane, 67
0- 4 ani, Masculin, Bihor, 29341 DRAGESTI, Anul 2007, Numar persoane, 97
0- 4 ani, Masculin, Bihor, 29341 DRAGESTI, Anul 2008, Numar persoane, 105
0- 4 ani, Masculin, Bihor, 29341 DRAGESTI, Anul 2009, Numar persoane, 101
0- 4 ani, Masculin, Bihor, 29341 DRAGESTI, Anul 2010, Numar persoane, 106
0- 4 ani, Masculin, Bihor, 29341 DRAGESTI, Anul 2011, Numar persoane, 106
0- 4 ani, Masculin, Bihor, 29341 DRAGESTI, Anul 2012, Numar persoane, 118
0- 4 ani, Masculin, Bihor, 29403 FINIS, Anul 2007, Numar persoane, 140
0- 4 ani, Masculin, Bihor, 29403 FINIS, Anul 2008, Numar persoane, 124
0- 4 ani, Masculin, Bihor, 29403 FINIS, Anul 2009, Numar persoane, 116
0- 4 ani, Masculin, Bihor, 29403 FINIS, Anul 2010, Numar persoane, 113
0- 4 ani, Masculin, Bihor, 29403 FINIS, Anul 2011, Numar persoane, 117
0- 4 ani, Masculin, Bihor, 29403 FINIS, Anul 2012, Numar persoane, 114
0- 4 ani, Masculin, Bihor, 32195 GEPIU, Anul 2007, Numar persoane, 64
0- 4 ani, Masculin, Bihor, 32195 GEPIU, Anul 2008, Numar persoane, 62
0- 4 ani, Masculin, Bihor, 32195 GEPIU, Anul 2009, Numar persoane, 51
