
Grupe de varsta a sotului , Grupa de varsta a sotiei, Ani, UM: Numar, Valoare
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 1992, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2000, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2003, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2004, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2005, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2006, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2007, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2008, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 2011, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 55-59 ani, Anul 1991, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 55-59 ani, Anul 1992, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 55-59 ani, Anul 2003, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 55-59 ani, Anul 2010, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 60 ani si peste, Anul 1992, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 60 ani si peste, Anul 1993, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 60 ani si peste, Anul 2000, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 60 ani si peste, Anul 2004, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 60 ani si peste, Anul 2006, Numar, 1
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1990, Numar, 224
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1991, Numar, 234
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1992, Numar, 195
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1993, Numar, 347
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1994, Numar, 432
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1995, Numar, 422
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1996, Numar, 466
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1997, Numar, 370
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1998, Numar, 368
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 1999, Numar, 286
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2000, Numar, 249
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2001, Numar, 242
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2002, Numar, 193
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2003, Numar, 215
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2004, Numar, 236
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2005, Numar, 192
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2006, Numar, 231
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2007, Numar, 216
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2008, Numar, 164
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2009, Numar, 93
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2010, Numar, 80
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2011, Numar, 60
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2012, Numar, 46
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2013, Numar, 24
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2014, Numar, 34
Varsta sotului 25-29 ani, Varsta sotiei sub 20 ani, Anul 2015, Numar, 29
