
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 40367 ORAS RASNOV, Anul 2016, Numar persoane, 134
Brasov, 40394 ORAS RUPEA, Anul 1990, Numar persoane, 54
Brasov, 40394 ORAS RUPEA, Anul 1991, Numar persoane, 69
Brasov, 40394 ORAS RUPEA, Anul 1992, Numar persoane, 65
Brasov, 40394 ORAS RUPEA, Anul 1993, Numar persoane, 72
Brasov, 40394 ORAS RUPEA, Anul 1994, Numar persoane, 43
Brasov, 40394 ORAS RUPEA, Anul 1995, Numar persoane, 64
Brasov, 40394 ORAS RUPEA, Anul 1996, Numar persoane, 62
Brasov, 40394 ORAS RUPEA, Anul 1997, Numar persoane, 68
Brasov, 40394 ORAS RUPEA, Anul 1998, Numar persoane, 46
Brasov, 40394 ORAS RUPEA, Anul 1999, Numar persoane, 58
Brasov, 40394 ORAS RUPEA, Anul 2000, Numar persoane, 54
Brasov, 40394 ORAS RUPEA, Anul 2001, Numar persoane, 54
Brasov, 40394 ORAS RUPEA, Anul 2002, Numar persoane, 64
Brasov, 40394 ORAS RUPEA, Anul 2003, Numar persoane, 51
Brasov, 40394 ORAS RUPEA, Anul 2004, Numar persoane, 60
Brasov, 40394 ORAS RUPEA, Anul 2005, Numar persoane, 57
Brasov, 40394 ORAS RUPEA, Anul 2006, Numar persoane, 67
Brasov, 40394 ORAS RUPEA, Anul 2007, Numar persoane, 39
Brasov, 40394 ORAS RUPEA, Anul 2008, Numar persoane, 45
Brasov, 40394 ORAS RUPEA, Anul 2009, Numar persoane, 57
Brasov, 40394 ORAS RUPEA, Anul 2010, Numar persoane, 73
Brasov, 40394 ORAS RUPEA, Anul 2011, Numar persoane, 55
Brasov, 40394 ORAS RUPEA, Anul 2012, Numar persoane, 54
Brasov, 40394 ORAS RUPEA, Anul 2013, Numar persoane, 65
Brasov, 40394 ORAS RUPEA, Anul 2014, Numar persoane, 62
Brasov, 40394 ORAS RUPEA, Anul 2015, Numar persoane, 69
Brasov, 40394 ORAS RUPEA, Anul 2016, Numar persoane, 58
Brasov, 40465 ORAS VICTORIA, Anul 1990, Numar persoane, 69
Brasov, 40465 ORAS VICTORIA, Anul 1991, Numar persoane, 62
Brasov, 40465 ORAS VICTORIA, Anul 1992, Numar persoane, 48
Brasov, 40465 ORAS VICTORIA, Anul 1993, Numar persoane, 70
Brasov, 40465 ORAS VICTORIA, Anul 1994, Numar persoane, 78
Brasov, 40465 ORAS VICTORIA, Anul 1995, Numar persoane, 82
Brasov, 40465 ORAS VICTORIA, Anul 1996, Numar persoane, 89
Brasov, 40465 ORAS VICTORIA, Anul 1997, Numar persoane, 73
Brasov, 40465 ORAS VICTORIA, Anul 1998, Numar persoane, 62
Brasov, 40465 ORAS VICTORIA, Anul 1999, Numar persoane, 81
Brasov, 40465 ORAS VICTORIA, Anul 2000, Numar persoane, 93
Brasov, 40465 ORAS VICTORIA, Anul 2001, Numar persoane, 76
Brasov, 40465 ORAS VICTORIA, Anul 2002, Numar persoane, 85
Brasov, 40465 ORAS VICTORIA, Anul 2003, Numar persoane, 81
Brasov, 40465 ORAS VICTORIA, Anul 2004, Numar persoane, 66
Brasov, 40465 ORAS VICTORIA, Anul 2005, Numar persoane, 81
Brasov, 40465 ORAS VICTORIA, Anul 2006, Numar persoane, 95
Brasov, 40465 ORAS VICTORIA, Anul 2007, Numar persoane, 70
Brasov, 40465 ORAS VICTORIA, Anul 2008, Numar persoane, 88
Brasov, 40465 ORAS VICTORIA, Anul 2009, Numar persoane, 71
Brasov, 40465 ORAS VICTORIA, Anul 2010, Numar persoane, 79
Brasov, 40465 ORAS VICTORIA, Anul 2011, Numar persoane, 76
Brasov, 40465 ORAS VICTORIA, Anul 2012, Numar persoane, 73
Brasov, 40465 ORAS VICTORIA, Anul 2013, Numar persoane, 66
Brasov, 40465 ORAS VICTORIA, Anul 2014, Numar persoane, 103
Brasov, 40465 ORAS VICTORIA, Anul 2015, Numar persoane, 79
Brasov, 40465 ORAS VICTORIA, Anul 2016, Numar persoane, 86
Brasov, 40492 ORAS ZARNESTI, Anul 1990, Numar persoane, 213
Brasov, 40492 ORAS ZARNESTI, Anul 1991, Numar persoane, 201
Brasov, 40492 ORAS ZARNESTI, Anul 1992, Numar persoane, 224
Brasov, 40492 ORAS ZARNESTI, Anul 1993, Numar persoane, 216
Brasov, 40492 ORAS ZARNESTI, Anul 1994, Numar persoane, 232
Brasov, 40492 ORAS ZARNESTI, Anul 1995, Numar persoane, 248
Brasov, 40492 ORAS ZARNESTI, Anul 1996, Numar persoane, 225
Brasov, 40492 ORAS ZARNESTI, Anul 1997, Numar persoane, 220
Brasov, 40492 ORAS ZARNESTI, Anul 1998, Numar persoane, 207
Brasov, 40492 ORAS ZARNESTI, Anul 1999, Numar persoane, 220
Brasov, 40492 ORAS ZARNESTI, Anul 2000, Numar persoane, 196
Brasov, 40492 ORAS ZARNESTI, Anul 2001, Numar persoane, 212
Brasov, 40492 ORAS ZARNESTI, Anul 2002, Numar persoane, 240
Brasov, 40492 ORAS ZARNESTI, Anul 2003, Numar persoane, 220
Brasov, 40492 ORAS ZARNESTI, Anul 2004, Numar persoane, 202
Brasov, 40492 ORAS ZARNESTI, Anul 2005, Numar persoane, 225
Brasov, 40492 ORAS ZARNESTI, Anul 2006, Numar persoane, 205
Brasov, 40492 ORAS ZARNESTI, Anul 2007, Numar persoane, 248
Brasov, 40492 ORAS ZARNESTI, Anul 2008, Numar persoane, 253
