
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Mures, 114854 ORAS SOVATA, Anul 2008, Numar persoane, 241
Mures, 114854 ORAS SOVATA, Anul 2009, Numar persoane, 162
Mures, 114854 ORAS SOVATA, Anul 2010, Numar persoane, 199
Mures, 114854 ORAS SOVATA, Anul 2011, Numar persoane, 224
Mures, 114854 ORAS SOVATA, Anul 2012, Numar persoane, 181
Mures, 114854 ORAS SOVATA, Anul 2013, Numar persoane, 200
Mures, 114854 ORAS SOVATA, Anul 2014, Numar persoane, 161
Mures, 114854 ORAS SOVATA, Anul 2015, Numar persoane, 113
Mures, 119894 ORAS UNGHENI, Anul 1990, Numar persoane, 409
Mures, 119894 ORAS UNGHENI, Anul 1991, Numar persoane, 115
Mures, 119894 ORAS UNGHENI, Anul 1992, Numar persoane, 88
Mures, 119894 ORAS UNGHENI, Anul 1993, Numar persoane, 76
Mures, 119894 ORAS UNGHENI, Anul 1994, Numar persoane, 120
Mures, 119894 ORAS UNGHENI, Anul 1995, Numar persoane, 158
Mures, 119894 ORAS UNGHENI, Anul 1996, Numar persoane, 146
Mures, 119894 ORAS UNGHENI, Anul 1997, Numar persoane, 98
Mures, 119894 ORAS UNGHENI, Anul 1998, Numar persoane, 76
Mures, 119894 ORAS UNGHENI, Anul 1999, Numar persoane, 86
Mures, 119894 ORAS UNGHENI, Anul 2000, Numar persoane, 105
Mures, 119894 ORAS UNGHENI, Anul 2001, Numar persoane, 148
Mures, 119894 ORAS UNGHENI, Anul 2002, Numar persoane, 162
Mures, 119894 ORAS UNGHENI, Anul 2003, Numar persoane, 192
Mures, 119894 ORAS UNGHENI, Anul 2004, Numar persoane, 163
Mures, 119894 ORAS UNGHENI, Anul 2005, Numar persoane, 105
Mures, 119894 ORAS UNGHENI, Anul 2006, Numar persoane, 154
Mures, 119894 ORAS UNGHENI, Anul 2007, Numar persoane, 173
Mures, 119894 ORAS UNGHENI, Anul 2008, Numar persoane, 133
Mures, 119894 ORAS UNGHENI, Anul 2009, Numar persoane, 149
Mures, 119894 ORAS UNGHENI, Anul 2010, Numar persoane, 134
Mures, 119894 ORAS UNGHENI, Anul 2011, Numar persoane, 130
Mures, 119894 ORAS UNGHENI, Anul 2012, Numar persoane, 127
Mures, 119894 ORAS UNGHENI, Anul 2013, Numar persoane, 97
Mures, 119894 ORAS UNGHENI, Anul 2014, Numar persoane, 132
Mures, 119894 ORAS UNGHENI, Anul 2015, Numar persoane, 151
Mures, 114970 ACATARI, Anul 1990, Numar persoane, 194
Mures, 114970 ACATARI, Anul 1991, Numar persoane, 64
Mures, 114970 ACATARI, Anul 1992, Numar persoane, 65
Mures, 114970 ACATARI, Anul 1993, Numar persoane, 38
Mures, 114970 ACATARI, Anul 1994, Numar persoane, 37
Mures, 114970 ACATARI, Anul 1995, Numar persoane, 86
Mures, 114970 ACATARI, Anul 1996, Numar persoane, 65
Mures, 114970 ACATARI, Anul 1997, Numar persoane, 73
Mures, 114970 ACATARI, Anul 1998, Numar persoane, 40
Mures, 114970 ACATARI, Anul 1999, Numar persoane, 37
Mures, 114970 ACATARI, Anul 2000, Numar persoane, 39
Mures, 114970 ACATARI, Anul 2001, Numar persoane, 52
Mures, 114970 ACATARI, Anul 2002, Numar persoane, 49
Mures, 114970 ACATARI, Anul 2003, Numar persoane, 70
Mures, 114970 ACATARI, Anul 2004, Numar persoane, 77
Mures, 114970 ACATARI, Anul 2005, Numar persoane, 64
Mures, 114970 ACATARI, Anul 2006, Numar persoane, 57
Mures, 114970 ACATARI, Anul 2007, Numar persoane, 84
Mures, 114970 ACATARI, Anul 2008, Numar persoane, 80
Mures, 114970 ACATARI, Anul 2009, Numar persoane, 76
Mures, 114970 ACATARI, Anul 2010, Numar persoane, 128
Mures, 114970 ACATARI, Anul 2011, Numar persoane, 59
Mures, 114970 ACATARI, Anul 2012, Numar persoane, 66
Mures, 114970 ACATARI, Anul 2013, Numar persoane, 68
Mures, 114970 ACATARI, Anul 2014, Numar persoane, 58
Mures, 114970 ACATARI, Anul 2015, Numar persoane, 72
Mures, 115076 ADAMUS, Anul 1990, Numar persoane, 198
Mures, 115076 ADAMUS, Anul 1991, Numar persoane, 113
Mures, 115076 ADAMUS, Anul 1992, Numar persoane, 67
Mures, 115076 ADAMUS, Anul 1993, Numar persoane, 71
Mures, 115076 ADAMUS, Anul 1994, Numar persoane, 96
Mures, 115076 ADAMUS, Anul 1995, Numar persoane, 120
Mures, 115076 ADAMUS, Anul 1996, Numar persoane, 87
Mures, 115076 ADAMUS, Anul 1997, Numar persoane, 93
Mures, 115076 ADAMUS, Anul 1998, Numar persoane, 48
Mures, 115076 ADAMUS, Anul 1999, Numar persoane, 64
Mures, 115076 ADAMUS, Anul 2000, Numar persoane, 45
Mures, 115076 ADAMUS, Anul 2001, Numar persoane, 78
Mures, 115076 ADAMUS, Anul 2002, Numar persoane, 95
Mures, 115076 ADAMUS, Anul 2003, Numar persoane, 59
Mures, 115076 ADAMUS, Anul 2004, Numar persoane, 99
Mures, 115076 ADAMUS, Anul 2005, Numar persoane, 70
Mures, 115076 ADAMUS, Anul 2006, Numar persoane, 50
Mures, 115076 ADAMUS, Anul 2007, Numar persoane, 79
Mures, 115076 ADAMUS, Anul 2008, Numar persoane, 104
Mures, 115076 ADAMUS, Anul 2009, Numar persoane, 96
Mures, 115076 ADAMUS, Anul 2010, Numar persoane, 141
Mures, 115076 ADAMUS, Anul 2011, Numar persoane, 88
Mures, 115076 ADAMUS, Anul 2012, Numar persoane, 92
Mures, 115076 ADAMUS, Anul 2013, Numar persoane, 78
Mures, 115076 ADAMUS, Anul 2014, Numar persoane, 97
Mures, 115076 ADAMUS, Anul 2015, Numar persoane, 89
Mures, 114603 ALBESTI, Anul 1990, Numar persoane, 213
Mures, 114603 ALBESTI, Anul 1991, Numar persoane, 134
Mures, 114603 ALBESTI, Anul 1992, Numar persoane, 117
Mures, 114603 ALBESTI, Anul 1993, Numar persoane, 69
Mures, 114603 ALBESTI, Anul 1994, Numar persoane, 55
Mures, 114603 ALBESTI, Anul 1995, Numar persoane, 83
Mures, 114603 ALBESTI, Anul 1996, Numar persoane, 61
Mures, 114603 ALBESTI, Anul 1997, Numar persoane, 48
Mures, 114603 ALBESTI, Anul 1998, Numar persoane, 44
Mures, 114603 ALBESTI, Anul 1999, Numar persoane, 36
Mures, 114603 ALBESTI, Anul 2000, Numar persoane, 36
Mures, 114603 ALBESTI, Anul 2001, Numar persoane, 75
Mures, 114603 ALBESTI, Anul 2002, Numar persoane, 66
Mures, 114603 ALBESTI, Anul 2003, Numar persoane, 75
Mures, 114603 ALBESTI, Anul 2004, Numar persoane, 87
Mures, 114603 ALBESTI, Anul 2005, Numar persoane, 81
Mures, 114603 ALBESTI, Anul 2006, Numar persoane, 81
Mures, 114603 ALBESTI, Anul 2007, Numar persoane, 98
Mures, 114603 ALBESTI, Anul 2008, Numar persoane, 74
Mures, 114603 ALBESTI, Anul 2009, Numar persoane, 68
Mures, 114603 ALBESTI, Anul 2010, Numar persoane, 88
Mures, 114603 ALBESTI, Anul 2011, Numar persoane, 70
Mures, 114603 ALBESTI, Anul 2012, Numar persoane, 91
Mures, 114603 ALBESTI, Anul 2013, Numar persoane, 80
Mures, 114603 ALBESTI, Anul 2014, Numar persoane, 79
Mures, 114603 ALBESTI, Anul 2015, Numar persoane, 84
Mures, 115147 ALUNIS, Anul 1990, Numar persoane, 80
Mures, 115147 ALUNIS, Anul 1991, Numar persoane, 25
Mures, 115147 ALUNIS, Anul 1992, Numar persoane, 36
