
Starea civila anterioara a sotului, Starea civila anterioara a sotiei, Ani, UM: Numar, Valoare
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1992, Numar, 7683
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1993, Numar, 7303
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1994, Numar, 8194
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1995, Numar, 8523
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1996, Numar, 8530
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1997, Numar, 8472
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1998, Numar, 8803
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1999, Numar, 8458
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2000, Numar, 8630
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2001, Numar, 8471
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2002, Numar, 8503
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2003, Numar, 8771
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2004, Numar, 9427
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2005, Numar, 9934
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2006, Numar, 10293
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2007, Numar, 9538
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2008, Numar, 9728
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2009, Numar, 7821
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2010, Numar, 6793
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2011, Numar, 6802
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2012, Numar, 7043
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2013, Numar, 7204
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2014, Numar, 7624
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2015, Numar, 8194
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 2016, Numar, 8925
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:nedeclarata, Anul 1992, Numar, 1
Starea civila anterioara a sotului:nedeclarata, Starea civila anterioara a sotiei:necasatorita, Anul 1990, Numar, 2
Starea civila anterioara a sotului:nedeclarata, Starea civila anterioara a sotiei:necasatorita, Anul 1992, Numar, 1
Starea civila anterioara a sotului:nedeclarata, Starea civila anterioara a sotiei:divortata, Anul 1992, Numar, 1
Starea civila anterioara a sotului:nedeclarata, Starea civila anterioara a sotiei:nedeclarata, Anul 1990, Numar, 1
Starea civila anterioara a sotului:nedeclarata, Starea civila anterioara a sotiei:nedeclarata, Anul 1992, Numar, 1
