falu|megye|hun
Sannicolaul Mic, Arad |Municipiul Arad, AR|Kisszentmiklós
Sanpaul |sofronea, AR|Szentpál
Sanpaul |Sanpaul, CJ|Magyarszentpál
Sanpaul |Martinis, HR|Homoródszentpál
Sanpaul |Sanpaul, MS|Kerelőszentpál
Sanpetru |Sanpetru, BV|Barcaszentpéter
Sanpetru |Santamaria-Orlea, HD|Szentpéterfalva
Sanpetru Almasului |Hida, SJ|Füzesszentpéter
Sanpetru de Campie |Sanpetru de Campie, MS|Uzdiszentpéter
Sanpetru German |Secusigiu, AR|Németszentpéter
Sanpetru Mare |Sanpetru Mare, TM|Nagyszentpéter
Sanpetru Mic |Varias, TM|Kisszentpéter
Sanpetru Nou, Sanpetru Mare |Sanpetru Mare, TM|Újszentpéter
Sansimion |Sansimion, HR|Csíkszentsimon
Sansimion |Neaua, MS|Nyárádszentsimon
Santana |Santana, AR|Újszentanna
Santana de Mures |Santana de Mures, MS|Marosszentanna
Santana Nirajului, Miercurea Nirajului |Miercurea Nirajului, MS|Nyárádszentanna
Santandrei |Santandrei, BH|Biharszentandrás
Santandrei, Miercurea Nirajului |Miercurea Nirajului, MS|Nyárádandrásfalva
Santandrei |Oras Simeria, HD|Szentandrás
Santa Maria |Sanmihaiu Almasului, SJ|Almásszentmária
Santamaria de Piatra |Oras Calan, HD|Kőboldogfalva
Santamaria-Orlea |Santamaria-Orlea, HD|Őraljaboldogfalva
Santamarie |Cetatea de Balta, AB|Boldogfalva
Santejude |taga, CJ|Vasasszentegyed
Santejude-Vale |taga, CJ|Völgy
Santelec |Hidiselu de Sus, BH|Biharszentelek
Santimbru |Santimbru, AB|Marosszentimre
Santimbru |Sancraieni, HR|Csíkszentimre
Santimbru-Bai |Sancraieni, HR|Szentimrefürdő
Santimreu |Salard, BH|Hegyközszentimre
Santioana |Mariselu, BN|Sajószentiván
Santioana |taga, CJ|Vasasszentiván
Santioana |Viisoara, MS|Szászszentiván
Santioana de Mures |Panet, MS|Csittszentiván
Santion |Bors, BH|Biharszentjános
Santion, Santionlunca |Ozun, CV|Sepsiszentiván
Santionlunca |Ozun, CV|Szentivánlaborfalva
Santu |Lunca, MS|Mezőszentandrás
Santuhalm |Municipiul Deva, HD|Szántóhalma
Sanvasii, Galesti |Galesti, MS|Nyárádszentlászló
Sanzieni |Sanzieni, CV|Kézdiszentlélek
Sarbesti |Lunca, BH|Szerbesd
Sarbi |Halmagel, AR|Szerb
Sarbi |Sarbi, BH|Alsótótfalu
Sarbi |Ilia, HD|Szirb
Sarbi |Budesti, MM|Szerfalva
Sarbi |Farcasa, MM|Oláhtótfalu
Sarbi |Sag, SJ|Krasznatótfalu
Sarbii, Dragomiresti |stiuca, TM|
Sarbova |Racovita, TM|Szirbó
Scaius |Farliug, CS|Bojtorjános
Scarisoara |Scarisoara, AB|Aranyosfő
Scarisoara |Cornereva, CS|
Scarisoara Noua |Piscolt, SM|Ligettanya [Piskoltliget]
Scoabe |Urmenis, BN|
Scoarta |Garda de Sus, AB|
Scoreiu |Porumbacu de Jos, SB|Skorei
Scradoasa |Oras intorsura Buzaului, CV|
Scrind-Frasinet |Margau, CJ|Kőrizstető
Sculia |Gataia, TM|Szigetfalu
Scurta |Pogaceaua, MS|
Scurta, Slimnic |Slimnic, SB|
Sebes |Municipiul Sebes, AB|Szászsebes
Sebes |Harseni, BV|Sebes
Sebes |Rusii-Munti, MS|Sebespatak
Sebesel |Sasciori, AB|Sebeshely
Sebesu de Jos |Turnu Rosu, SB|Oltalsósebes
Sebesu de Sus |Racovita, SB|Oltfelsősebes
Sebis |Oras Sebis, AR|Borossebes
Sebis |Draganesti, BH|Körössebes
Sebis |sieut, BN|Sajófelsősebes
Secaci |Beliu, AR|Felsőszakács
Secas |Brazii, AR|Alsószakács
Secas |Secas, TM|Temesszékás
Secasel |Ohaba, AB|Székásbesenyő
Secaseni |Ticvaniu Mare, CS|Krassószékás
Seceani |Ortisoara, TM|Temesszécsény
Secheresa |Supur, SM|Szekerestanya
Secu |Municipiul Resita CS|Székul
Secu |Oras Toplita, HR|Székpatak
Secuieni |Secuieni, HR|Újszékely
Secusigiu |Secusigiu, AR|Székesút
Sederhat |Pecica, AR|Szederhát
Segaj |Vidra, AB|
Seghiste |Lunca, BH|Szegyesd
Seini |Oras Seini, MM|Szinérváralja
Seleus |Seleus, AR|Csigérszőllős
Seleus |Municipiul Oradea, BH|Váradszőllős
Seleus |Danes, MS|Keménynagyszőllős
Seleus |Zagar, MS|Szászszőllős
Selistat |soars, BV|Boldogváros
Seliste, Abrud-Sat |Oras Abrud, AB|Szelistye
Seliste |Petris, AR|Marosszeleste
Selistea |Carand, AR|Bélmárkaszék
Semlac |Semlac, AR|Szemlak
Senereus |Balauseri, MS|Szénaverős
Senetea |Suseni, HR|Szenéte
Ser |Bogdand, SM|Szér
Sereca |Beriu, HD|Szereka
Seuca, Ganesti |Ganesti, MS|Szőkefalva
Sfaras |Almasu, SJ|Farnas
Sfanta Elena |Coronini, CS|Dunaszentilona
Sfantu Gheorghe |Municipiul Sfantu Gheorghe, CV|Sepsiszentgyörgy
Sfantu Gheorghe |Oras Iernut, MS|Csapószentgyörgy
Sfarcea |intregalde, AB|Szfirecsea
Sfarnas |Ciuhoi, BH|Berettyófarnos
Sfoartea |Scarisoara, AB|
Sibiel |Saliste, SB|Szibiel
Sibisani, Vintu de Jos |Vintu de Jos, AB|Sibisán
Sibisel |Beriu, HD|Ósebeshely
Sibisel |Rau de Mori, HD|Sebeshely
Sibiselu Nou, Sibisel |Beriu, HD|Újsebeshely
Sibiu |Municipiul Sibiu, SB|Nagyszeben
Sic |Sic, CJ|Szék
Sicele |Pogaceaua, MS|
Sicfa |Unguras, CJ|Székfa
Sichevita |Sichevita, CS|Szikesfalu
Sici |Pericei, SJ|Somlyószécs
Sicoiesti |Sohodol, AB|
Siculeni |Siculeni, HR|Madéfalva
Sighetu Marmatiei |Municipiul Sighetu Marmatiei, MM|Máramarossziget
Sighetu Silvaniei |Chiesd, SJ|Szilágysziget
Sighisoara |Municipiul Sighisoara, MS|Segesvár
Sighistel |Campani, BH|Kisszegyesd
Sigilesti, Faget |Oras Faget, TM|
Sigmir |Municipiul Bistrita, BN|Szépnyír
Silagiu |Oras Buzias, TM|Nagyszilas
Silivas |Hopirta, AB|Mikószilvás
Silivas |Municipiul Gherla, CJ|Vízszilvás
Silivasu de Campie |Silivasu de Campie, BN|Mezőszilvás
Silvas |Sauca, SM|Tasnádszilvás
Silvasu de Jos |Oras Hateg, HD|Alsószilvás
Silvasu de Sus |Oras Hateg, HD|Felsőszilvás
Simeria, Sfantu Gheorghe |Municipiul Sfantu Gheorghe, CV|Szemerja
Simeria |Oras Simeria, HD|Piskitelep
Simeria Veche |Oras Simeria, HD|Ópiski
Simionesti |Budacu de Jos, BN|Simontelke
Simulesti |Oras Baia de Aries, AB|
Sinersig |Boldur, TM|Szinérszeg
Sineu |Remetea, HR|Eszenyő
Sinic, Crivobara |Secas, TM|
Sintar |Bogda, TM|Bükkhegy
Sintea Mare |Sintea Mare, AR|Szinte
Sintea Mica |Olari, AR|Szineke
Sintesti |Margina, TM|Bégaszentes
Sirinia, Berzasca |Berzasca, CS|Szirinyatelep
Sita |Spermezeu, BN|Szita
Sita Buzaului |Sita Buzaului, CV|Szitabodza
Sitani |Pomezeu, BH|Szitány
Sititelec |Husasau de Tinca, BH|Székelytelek
Slatina de Cris |Dezna, AR|Mikószalatna
Slatina de Mures |Barzava, AR|Marosszalatna
Slatina-Nera |Sasca Montana, CS|Néraszlatina
Slatina-Timis |Slatina-Timis, CS|Temesszlatina
Slatinioara |Municipiul Petrosani, HD|Szlatinova községrész
Slatinita |Municipiul Bistrita, BN|Pinták
Slatioara |Stramtura, MM|Izasópatak
Slavesti, Brad |Municipiul Brad, HD|
Slimnic |Slimnic, SB|Szelindek
Smida |Belis, CJ|
Smizi, Brestelnic |Sichevita, CS|
Snide |Garda de Sus, AB|
Soca |Banloc, TM|Karátsonyiliget
Soceni |Ezeris, CS|Szócsán
Socet |sinteu, BH|Forduló
Socet |Cerbal, HD|Szocsed
Socodor |Socodor, AR|Székudvar
Socol |Socol, CS|Nérasolymos
Socolari |Ciclova Romana, CS|Szakalár
Socolu de Campie |Cozma, MS|Mezőszokol
Socond |Socond, SM|Nagyszokond
Soconzel |Socond, SM|Kisszokond
Soharu |Oras Abrud, AB|Szuhár
Sohodol |Albac, AB|
Sohodol |Sohodol, AB|Aranyosszohodol
Sohodol |Cabesti, BH|Aszóirtás
Sohodol |Bran, BV|Szohodol
Sohodol |Lelese, HD|Szohodol
Solduba |Homoroade, SM|Bükkszoldobágy
Solocma |Ghindari, MS|Szolokma
Solomon |Garbou, SJ|Gorbósalamon
Solona |Surduc, SJ|Szalonnapatak
Solovastru |Solovastru, MS|Görgényoroszfalu
Solter, Blaja |Oras Tasnad, SM|Szőlcér
Somes-Guruslau |Napradea, SJ|Nagygoroszló
Somes-Odorhei |Somes-Odorhei, SJ|Szamosudvarhely
Somes-Uileac |Ulmeni, MM|Szilágyújlak
Someseni, Cluj-Napoca |Municipiul Cluj-Napoca, CJ|Szamosfalva
Someseni |Apa, SM|Szamostelek
Somesu Cald |Gilau, CJ|Melegszamos
Somesu Rece |Gilau, CJ|Hidegszamos
Soporu de Campie |Frata, CJ|Mezőszopor
Sorostin |seica Mica, SB|Sorostély
Sovata |Oras Sovata, MS|Szováta
Spata |Bara, TM|Bégapata
Spatac |Municipiul Blaj, AB|Szászpatak
Spermezeu |Spermezeu, BN|Ispánmező
Spini |Turdas, HD|Pád
Spinus |Spinus, BH|Hagymádfalva
Spinus |Santau, SM|Tövised
Spinus de Pomezeu |Pomezeu, BH|Tősfalva
Staierdorfanina, Anina + Steierdorf |Oras Anina, CS|Stájerlakanina
Stamora Germana |Moravita, TM|Alsósztamora
Stamora Romana |Sacosu Turcesc, TM|Felsősztamora
Stana |Almasu, SJ|Sztána
Stanciova |Recas, TM|Sztancsafalva
Statiunea Climaterica Sambata |Voila, BV|Felsőszombatfalvi üdülőtelep
Stancilova |sopotu Nou, CS|Sztancsilovapuszta
Stanculesti |Bulzestii de Sus, HD|
Stanesti |Poiana Vadului, AB|
Stanija |Buces, HD|Sztanizsa
Stanisoara, Acmariu |Blandiana, AB|
Staniste, Dobraia |Cornereva, CS|
Stauini |Vintu de Jos, AB|
Stauini |Balsa, HD|
Stavaresti, Vama Buzaului |Vama Buzaului, BV|
Stalnisoara |Bucium, AB|
Stana |Socond, SM|Felsőboldád
Stana |Municipiul Zalau, SJ|Felsőnyárló
Stana de Mures |Noslac, AB|Maroscsúcs
Stanceni |Stanceni, MS|Gödemesterháza
Stancesti |Buntesti, BH|Kisbékafalva
Stancesti |Dobra, HD|Sztancsesd
Stancesti-Ohaba |Dobra, HD|Sztancsesdohába
Starciu |Horoatu Crasnei, SJ|Bogdánháza
Starcu |Ceanu Mare, CJ|Csóka
Steierdorf |Oras Anina, CS|Stájerlak
Stejar |Varadia de Mures, AR|Szarvaság
Stejarel |Luncoiu de Jos, HD|Szkrófa
Stejarenii |Danes, MS|Bese
Stejaresti, Slimnic |Slimnic, SB|
Stejarisu |Iacobeni, SB|Prépostfalva
Stejera |Miresu Mare, MM|Jávorfalu
Stejeris |Moldovenesti, CJ|Kercsed
Stejeris |Acatari, MS|Cserefalva
Stejeris, Petrilaca de Mures |Gornesti, MS|Balázscsere
Sterminosu, Uricani |Oras Uricani, HD|
Stoboru |Cuzaplac, SJ|Vásártelke
Stodu, Slimnic |Slimnic, SB|
Stoiana |Cornesti, CJ|Esztény
Stoiceni |Oras Targu Lapus, MM|Sztojkafalva
Stoieneasa |Valisoara, HD|Sztojenyásza
Stoinesti |Craiva, AR|Bélkismaros
Stolna |Savadisla, CJ|Isztolna
Stracos |Dragesti, BH|Isztrákos
Straja |Berghin, AB|Őregyház
Straja |Capusu Mare, CJ|Gesztrágy
Straja |Cojocna, CJ|Szávatanya
Strauti, Grohot |Bulzestii de Sus, HD|
Stramba |Josenii Bargaului, BN|Dornavölgyitelep
Stramba, sinca Noua |Poiana Marului, BV|Strimba
Strambu |Chiuiesti, CJ|Horgospataka
Strambu Baiut |Baiut, MM|Kohóvölgy
Strambulici, Oarzina |Tarlisua, BN|Sztrimbavölgy
Stramtura |Stramtura, MM|Szurdok
Strei |Oras Calan, HD|Zeykfalva
Strei-Sacel |Oras Calan, HD|Sztrigyszacsal
Streisangeorgiu |Oras Calan, HD|Sztrigyszentgyörgy
Stremt |Stremt, AB|Diód
Stremt |Basesti, MM|Bükktótfalu
Streneac |Sichevita, CS|
Stretea |Dobra, HD|Sztrettye
Strucut |Ceanu Mare, CJ|Stinkut dűlő
Strugasca |Cornereva, CS|
Strugureni |Chiochis, BN|Mezőveresegyháza
Strungari |Pianu, AB|Sztrugár
Studena |Cornereva, CS|
Stupini |Sanmihaiu de Campie, BN|Mezősolymos
Stupini |Hida, SJ|Füzes
Stupinii Harmanului, Harman |Harman, BV|Szászhermányi-méhkertek
Stupinii Prejmerului |Prejmer, BV|Rohrau
Sturu |Arieseni, AB|
Suaras |Bobalna, CJ|Szóváros
Suatu |Suatu, CJ|Magyarszovát
Suatul de Jos, Suatu |Suatu, CJ|Alsószovát
Suatul de Sus, Suatu |Suatu, CJ|Felsőszovát
Sub Cetate |Zetea, HR|Zeteváralja
Sub Cetate |Valcau de Jos, SJ|Valkóváralja
Sub Coasta |Apahida, CJ|
Sub Coasta, Tritenii de Jos |Tritenii de Jos, CJ|
Sub Crang |Cornereva, CS|
Sub Margine |Armenis, CS|
Sub Padure |Ganesti, MS|Erdőalja
Sub Piatra, Holobani |Lupsa, AB|
Sub Piatra |Salciua, AB|Búvópatak
Sub Plai |Cornereva, CS|
Sub Pogara, Studena |Cornereva, CS|
Subcetate |Subcetate, HR|Gyergyóvárhegy
Subcetate |Santamaria-Orlea, HD|Váralja
Subobrej-Tei, Sacele |Municipiul Sacele, BV|
Subpiatra |tetchea, BH|Kőalja
Suceagu |Baciu, CJ|Szucság
Sucesti |Garda de Sus, AB|
Suciu de Jos |Suciu de Sus, MM|Alsószőcs
Suciu de Sus |Suciu de Sus, MM|Felsőszőcs
Sucutard |Geaca, CJ|Vasasszentgotthárd
Sudrias |Traian Vuia, TM|Bégaszederjes
Sudrigiu |Rieni, BH|Kisszedres
Sudurau |Santau, SM|Érszodoró
Suiug |Abram, BH|Szunyogd
Sulighete |soimus, HD|Szúliget
Sumurducu |Sanpaul, CJ|Szomordok
Suplac |Suplac, MS|Küküllőszéplak
Suplacu de Barcau |Suplacu de Barcau, BH|Berettyószéplak
Suplacu de Tinca |Capalna, BH|Tenkeszéplak
Suplai |Zagra, BN|Ciblesfalva
Supuru de Jos |Supur, SM|Alsószopor
Supuru de Sus |Supur, SM|Felsőszopor
Surcea |Zabala, CV|Szörcse
Surda, Dumitrestii |Miercurea Nirajului, MS|Süketfalva
Surda-Dumitrestii, Dumitrestii |Miercurea Nirajului, MS|Süket-Demeterfalva
Surdesti |Sohodol, AB|
Surduc |Copacel, BH|Élesdszurdok
Surduc |Iara, CJ|Járaszurdok
Surduc, Petrosani |Municipiul Petrosani, HD|Szurduk községrész
Surduc |Surduc, SJ|Szurduk
Surducel |Varciorog, BH|Kisszurdok
Surducu Mare |Forotic, CS|Nagyszurduk
Surducu Mic |Traian Vuia, TM|Kisszurdok
Susag |Craiva, AR|Pusztaszuszág
Susani |Ignesti, AR|Susányfalva
Susani |Traian Vuia, TM|Bégaszuszány
Suseni |Oras Zlatna, AB|
Suseni |Suseni, HR|Gyergyóújfalu
Suseni, Homorod |Oras Geoagiu, HD|
Suseni |Rau de Mori, HD|Szuszeny
Suseni |Suseni, MS|Marosfelfalu
Susenii Bargaului |Prundu Bargaului, BN|Felsőborgó
Sustra |Topolovatu Mare, TM|Sustra
Sutoru |Zimbor, SJ|Zutor
Suveica |Acatari, MS|Szövérd
Svinita |Svinita, MH|Szinice
saes |Apold, MS|Segesd
sag |sag, TM|Temesság
sagu |sagu, AR|Németság
salcau |Mihaileni, SB|Salkó
samsud |samsud, SJ|Szilágysámson
sandra |Beltiug, SM|Krasznasándorfalu
sandra |Biled, TM|Sándorháza
sandru |Papiu Ilarian, MS|Sándortelep + Zölditanya
sanovita |Ghizela, TM|Sziklás
sant |sant, BN|Újradna
sapartoc |Albesti, MS|Sárpatak
sard |Ighiu, AB|Sárd
sardu |Sanpaul, CJ|Magyarsárd
sardu Nirajului |Miercurea Nirajului, MS|Székelysárd
saros pe Tarnave |Oras Dumbraveni, SB|Szászsáros
sasa, Bucium |Bucium, AB|Bucsum-Sásza
sasa |Lupsa, AB|Sásza
sasa |Ileanda, SJ|Sasfalu
sasveres |Praid, HR|Sásverés
sauaieu |Nojorid, BH|Biharsályi
saula |Izvoru Crisului, CJ|Sárvásár
sarmasag |sarmasag, SJ|Sarmaság
saulesti |Oras Simeria, HD|Sárfalva
saulia |saulia, MS|Mezősályi
saulita |Mihesu de Campie, MS|Kissályi
sausa |Ungheni, MS|Sóspatak
sausa de Campie, sausa |Ungheni, MS|Kerelősóspatak
sausa Sacuieasca, sausa |Ungheni, MS|Székelysóspatak
sebisesti |Sohodol, AB|
seica Mare |seica Mare, SB|Nagyselyk
seica Mica |seica Mica, SB|Kisselyk
seitin |seitin, AR|Sajtény
selimbar |selimbar, SB|Sellenberk
semlacu Mare |Gataia, TM|Mezősomlyó
semlacu Mic |Gataia, TM|Vársomlyó
sendroaia |Tarlisua, BN|Sendrojatanya
sepreus |sepreus, AR|Seprős
sepsi-Batani, Batani |Batani, CV|Sepsibacon
serani |Borod, BH|Sárán
serbanesti, Lunca |Lupsa, AB|
serbeni |Beica de Jos, MS|Soropháza
sercaia |sercaia, BV|Sárkány
sercaita |sinca, BV|Sarkaica
seredeiu |Horoatu Crasnei, SJ|Sereden
serel |Pui, HD|Serél
serghis |Varciorog, BH|Serges
serpesti, Ploscos |Ploscos, CJ|Kígyós
sesuri |Bucuresci, HD|Seszur
sesuri Spermezeu-Vale |Spermezeu, BN|Síktelep
seulia de Mures |Cucerdea, MS|Oláhsályi
seusa |Ciugud, AB|Sóspatak
siad |Craiva, AR|Sajád
sibot |sibot, AB|Alkenyér
sicasau |Zetea, HR|Sikaszómezeje
siclau |Graniceri, AR|Sikló
siclod |Atid, HR|Siklód
siclod-Coasta, Sarateni |Oras Sovata, MS|Siklódi oldal
sicula |sicula, AR|Sikula
sieu |sieu, BN|Nagysajó
sieu |Rozavlea, MM|Sajó
sieu-Magherus |sieu-Magherus, BN|Sajómagyarós
sieu-Odorhei |sieu-Odorhei, BN|Sajóudvarhely
sieu-Sfantu |sintereag, BN|Sajószentandrás
sieut |sieut, BN|Kissajó
sigau |Jichisu de Jos, CJ|Sajgó
silea |Farau, AB|Magyarsülye
silea Nirajului |Magherani, MS|Nyárádselye
silindia |silindia, AR|Selénd
silindru |simian, BH|Érselénd
simand |simand, AR|Simánd
simandu de Jos, simand |simand, AR|Alsósimánd
simandu de Sus, simand |simand, AR|Felsősimánd
simian |simian, BH|Érsemjén
simisna |Rus, SJ|Semesnye
simleu Silvaniei |Oras simleu Silvaniei, SJ|Szilágysomlyó
simocesti |Sohodol, AB|
simon |Bran, BV|Simon
simonesti |simonesti, HR|Siménfalva
sinca Noua |Poiana Marului, BV|Újsinka
sinca Veche |sinca, BV|Ósinka
sincai |sincai, MS|Mezősámsond
sincai-Fanate |sincai, MS|Édeságtanya
sindresti |Dumbravita, MM|Felsősándorfalu
sintereag |sintereag, BN|Somkerék
sintereag-Gara |sintereag, BN|Somkeréki vasútitelep
sinteu |sinteu, BH|Sólyomkővár
sipet |Tormac, TM|Sebed
sipot, Cornatel |Rosia, SB|
siria |siria, AR|Világos
siria Romaneasca, siria |siria, AR|Románvilágos
siria Ungureasca, siria |siria, AR|Magyarvilágos
sirioara |sieu-Odorhei, BN|Sajósárvár
sirlau |Batarci, SM|Sellő
sirnea |Fundata, BV|Sirnea
sisesti |sisesti, MM|Lacfalu
sistarovat |sistarovat, AR|Sistaróc
sisterea |Cetariu, BH|Siter
smig |Atel, SB|Somogyom
soal |Rosia Montana, AB|
soala |Axente Sever, SB|Sálya
soard |Vanatori, MS|Küküllősárd
soars |soars, BV|Sáros
sofronea |sofronea, AR|Sofronya
soicesti |Avram Iancu, AB|
soimeni |Vultureni, CJ|Sólyomkő
soimeni |Pauleni-Ciuc, HR|Csíkcsomortán
soimi |soimi, BH|Sólyom
soimos |Oras Lipova, AR|Solymosvár
soimus |Radesti, AB|Magyarsolymos
soimus |Remetea, BH|Gyepüsolymos
soimus |sieu, BN|Sajósolymos
soimus |soimus, HD|Marossolymos
soimus |Coroisanmartin, MS|Küküllősolymos
soimus |Somes-Odorhei, SJ|Szilágysolymos
soimuseni |Letca, SJ|Kővársolymos
soimusu Mare |Sacel, HR|Nagysolymos
soimusu Mic |Sacel, HR|Kissolymos
somartin |Bruiu, SB|Mártonhegy
somcuta Mare |somcuta Mare, MM|Nagysomkút
somcutu Mic |Municipiul Dej, CJ|Kissomkút
somosches |Cermei, AR|Somoskeszi
somostelnic |Mica, MS|Somostelke
sona |sona, AB|Szépmező
sona |Mandra, BV|Sona
sopotu Nou |sopotu Nou, CS|Újsopot
sopotu Vechi |Dalboset, CS|Ósopot
sopteriu |Urmenis, BN|Septér
sorlita |Oras Campeni, AB|
soromiclea |Municipiul Sighisoara, MS|
soscut, Sarateni |Oras Sovata, MS|Sóskút
sosdea |Maureni, CS|Sósd
sosdea Noua |Maureni, CS|
spalnaca |Hopirta, AB|Ispánlaka
spring |spring, AB|Spring
stefanca |Bistra, AB|
stefanca |Mihesu de Campie, MS|
stefaneaca |Zau de Campie, MS|
stefanesti, Trei Sate |Ghindari, MS|Székelyszentistván
stefanesti, Darova |Darova, TM|Istvánfalva
stei |Oras stei, BH|Vaskohsziklás
stei |Densus, HD|Stejvaspatak
stei-Arieseni |Arieseni, AB|
steia |Tomesti, HD|Steja
stenea |seica Mare, SB|Isztina
stertesti |Avram Iancu, AB|
stinapari |Carbunari, CS|Máriahavas
stiuca |stiuca, TM|Csukás
stiuleti |Scarisoara, AB|
sugag |sugag, AB|Sugág
sugau |Municipiul Sighetu Marmatiei, MM|Sugó
sugau, Huisurez |Damuc, NT|Sugó
sumal |Marca, SJ|Somály
sumita |Lapusnicel, CS|Cseherdős
sumita, Liborajdea |Sichevita, CS|
sumud, Noslac |Noslac, AB|Somogyi
sumugiu |Hidiselu de Sus, BH|Váraduzsopa
sumuleu, Miercurea-Ciuc |Municipiul Miercurea-Ciuc, HR|Csíksomlyó
sumuleu, Miercurea-Ciuc |Municipiul Miercurea-Ciuc, HR|Várdotfalva
suncuis |Finis, BH|Belényessonkolyos
suncuius |suncuius, BH|Vársonkolyos
sura Mare |sura Mare, SB|Nagycsűr
sura Mica |sura Mica, SB|Kiscsűr
surdesti |sisesti, MM|Dióshalom
susca |Pojejena, CS|Sisak
sustiu |Lunca, BH|Susd
susturogi |Cetariu, BH|Sitervölgy
sutu |Ciurila, CJ|Sütmeg
Taia, Petrila |Oras Petrila, HD|Tája rész
Talpe |Draganesti, BH|Talp
Talpos |Batar, BH|Talpas
Tamasfalau |Zabala, CV|Székelytamásfalva
Tamastelecu, Pestisu Mare |Municipiul Hunedoara, HD|Tamástelke
Tamboresti |Albac, AB|
Tapia |Municipiul Lugoj, TM|Tápia
Tarcea |Tarcea, BH|Értarcsa
Tarna Mare |Tarna Mare, SM|Nagytarna
Tarnita |Buces, HD|
Taut |Taut, AR|Feltót
Tablaseni |Iclanzel, MS|Lekenceiforduló
Tagadau |Beliu, AR|Tagadómedgyes
Taietura |Mugeni, HR|Vágás
Talagiu |Plescuta, AR|Talács
Talisoara |Bradut, CV|Olasztelek
Talmaci |Craiva, AR|Bántolmács
Talmaciu |Oras Talmaciu, SB|Nagytalmács
Talmacel |Oras Talmaciu, SB|Kistalmács
Tamaia |Farcasa, MM|Tomány
Tamasa |Cuzaplac, SJ|Almástamási
Tamasda |Avram Iancu, BH|Tamáshida
Tamasu |Dealu, HR|Székelyszenttamás
Tamasasa |Martinesti, HD|Tamáspatak
Tamaseni |Batarci, SM|Tamásváralja
Tamasesti |Zam, HD|Tamasesd
Tamasesti |Arinis, MM|Szilágyegerbegy
Tamaseu |Biharia, BH|Paptamási
Tarcaia |Tarcaia, BH|Köröstárkány
Tarcaita |Tarcaia, BH|Tárkányka
Tarcesti |simonesti, HR|Tarcsafalva
Tarcuta, Tarhausi |Ghimes-Faget, BC|Terkucatelep
Tarhausi |Ghimes-Faget, BC|Tarhavaspataka
Tarian |Girisu de Cris, BH|Köröstarján
Tarlungeni |Tarlungeni, BV|Tatrang
Tarpiu |Dumitra, BN|Szásztörpény
Tarpiu |Jichisu de Jos, CJ|Szekerestörpény
Tartaria |Salistea, AB|Alsótatárlaka
Tasad |Dragesti, BH|Tasádfő
Tasnad |Oras Tasnad, SM|Tasnád
Tasnadu Nou, Tasnad |Oras Tasnad, SM|Újtasnád
Tatarasti |Burjuc, HD|Tataresd
Tatarastii de Cris |Vata de Jos, HD|Tataresd
Tataresti |Viile Satu Mare, SM|Résztelek
Tatarlaua |Cetatea de Balta, AB|Felsőtatárlaka
Tau |Rosia de Secas, AB|Székástóhát
Tau, Cerghizel |Ungheni, MS|
Tau |Zau de Campie, MS|Mezőszélen
Tau Bistra |sugag, AB|Bisztratelep
Tau Catun, Sanmihaiu de Campie |Sanmihaiu de 
Campie, BN|
Tauni |Valea Lunga, AB|Hosszúpatak
Taure |Nimigea, BN|Tóhát
Taureni |Feliceni, HR|Bikafalva
Taureni |Taureni, MS|Mezőtóhát
Tauseni |Bontida, CJ|Marokháza
Taut |Batar, BH|Feketetót
Tautelec |Cetariu, BH|Hegyköztóttelek
Tauteu |Tauteu, BH|Tóti
Tauti |Metes, AB|Tótfalud
Tauti |Floresti, CJ|Kolozstótfalu
Tautii de Jos, Tautii-Magheraus |Tautii-Magheraus, MM|Misztótfalu
Tautii de Sus |Oras Baia Sprie, MM|Giródtótfalu
Tautii-Magheraus |Tautii-Magheraus, MM|Miszmogyorós
Tampa |Bacia, HD|Tompa
Tampa |Miercurea Nirajului, MS|Székelytompa
Targoviste |Balint, TM|Vásáros
Targu Lapus |Oras Targu Lapus, MM|Magyarlápos
Targu Mures |Municipiul Targu Mures, MS|Marosvásárhely
Targu Secuiesc |Municipiul Targu Secuiesc, CV|Kézdivásárhely
Targusor |Cherechiu, BH|Asszonyvására
Targusor |Sanmartin, CJ|Kékesvásárhely
Tarlisua |Tarlisua, BN|Felsőilosva
Tarnava |Branisca, HD|Tirnáva
Tarnava |Tarnava, SB|Nagyekemező
Tarnava de Cris |Vata de Jos, HD|Ternáva
Tarnaveni |Municipiul Tarnaveni, MS|Dicsőszentmárton
Tarnavioara, Copsa Mica |Oras Copsa Mica, SB|Kisekemező
Tarnavita |Halmagel, AR|Fazekastarnó
Tarnavita |Branisca, HD|Tirnavica
Tarnova |Tarnova, AR|Tornova
Tarnova |Tarnova, CS|Tornó
Tarnoveni, Dragomiresti |stiuca, TM|
Tarnovita |Bradesti, HR|Küküllőkeményfalva
Tarsa |Avram Iancu, AB|
Tarsa |Bosorod, HD|
Tarsa-Plai |Avram Iancu, AB|
Tarsolt |Tarsolt, SM|Tartolc
Teaca |Teaca, BN|Teke
Teceu Mic |Remeti, MM|Kistécső
Techereu |Balsa, HD|Tekerő
Tecsesti |intregalde, AB|Teksesty
Teiu |Horea, AB|
Teiu |Lapugiu de Jos, HD|Tyej
Teius |Oras Teius, AB|Tövis
Telcisor |Telciu, BN|
Telciu |Telciu, BN|Telcs
Teleac |Ciugud, AB|Újcsongvaitelep
Teleac |Budureasa, BH|Telek
Teleac |Feliceni, HR|Telekfalva
