
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 48437
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 154955
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 145565
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 135746
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 127166
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 121581
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 118282
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 116675
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 116780
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 117138
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 118434
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 119076
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 118506
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 116622
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 114641
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 112767
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 111673
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 110738
0- 4 ani, Feminin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 110503
