
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0 ani, Masculin, Total, Mures, Anul 2007, Numar persoane, 3352
0 ani, Masculin, Total, Mures, Anul 2008, Numar persoane, 3362
0 ani, Masculin, Total, Mures, Anul 2009, Numar persoane, 3463
0 ani, Masculin, Total, Mures, Anul 2010, Numar persoane, 3392
0 ani, Masculin, Total, Mures, Anul 2011, Numar persoane, 3140
0 ani, Masculin, Total, Mures, Anul 2012, Numar persoane, 3129
0 ani, Feminin, Total, Covasna, Anul 1999, Numar persoane, 1259
0 ani, Feminin, Total, Covasna, Anul 2000, Numar persoane, 1321
0 ani, Feminin, Total, Covasna, Anul 2001, Numar persoane, 1311
0 ani, Feminin, Total, Covasna, Anul 2002, Numar persoane, 1244
0 ani, Feminin, Total, Covasna, Anul 2003, Numar persoane, 1257
0 ani, Feminin, Total, Covasna, Anul 2004, Numar persoane, 1211
0 ani, Feminin, Total, Covasna, Anul 2005, Numar persoane, 1285
0 ani, Feminin, Total, Covasna, Anul 2006, Numar persoane, 1409
0 ani, Feminin, Total, Covasna, Anul 2007, Numar persoane, 1355
0 ani, Feminin, Total, Covasna, Anul 2008, Numar persoane, 1239
0 ani, Feminin, Total, Covasna, Anul 2009, Numar persoane, 1282
0 ani, Feminin, Total, Covasna, Anul 2010, Numar persoane, 1228
0 ani, Feminin, Total, Covasna, Anul 2011, Numar persoane, 1175
0 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1157
0 ani, Feminin, Total, Harghita, Anul 1999, Numar persoane, 1896
0 ani, Feminin, Total, Harghita, Anul 2000, Numar persoane, 1845
0 ani, Feminin, Total, Harghita, Anul 2001, Numar persoane, 1843
0 ani, Feminin, Total, Harghita, Anul 2002, Numar persoane, 1836
0 ani, Feminin, Total, Harghita, Anul 2003, Numar persoane, 1721
0 ani, Feminin, Total, Harghita, Anul 2004, Numar persoane, 1724
0 ani, Feminin, Total, Harghita, Anul 2005, Numar persoane, 1770
0 ani, Feminin, Total, Harghita, Anul 2006, Numar persoane, 1903
0 ani, Feminin, Total, Harghita, Anul 2007, Numar persoane, 1899
0 ani, Feminin, Total, Harghita, Anul 2008, Numar persoane, 1805
0 ani, Feminin, Total, Harghita, Anul 2009, Numar persoane, 1846
0 ani, Feminin, Total, Harghita, Anul 2010, Numar persoane, 1754
0 ani, Feminin, Total, Harghita, Anul 2011, Numar persoane, 1739
0 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1627
0 ani, Feminin, Total, Mures, Anul 1999, Numar persoane, 3309
0 ani, Feminin, Total, Mures, Anul 2000, Numar persoane, 3170
0 ani, Feminin, Total, Mures, Anul 2001, Numar persoane, 3300
0 ani, Feminin, Total, Mures, Anul 2002, Numar persoane, 3129
0 ani, Feminin, Total, Mures, Anul 2003, Numar persoane, 3125
0 ani, Feminin, Total, Mures, Anul 2004, Numar persoane, 3202
0 ani, Feminin, Total, Mures, Anul 2005, Numar persoane, 3190
0 ani, Feminin, Total, Mures, Anul 2006, Numar persoane, 3317
0 ani, Feminin, Total, Mures, Anul 2007, Numar persoane, 3139
0 ani, Feminin, Total, Mures, Anul 2008, Numar persoane, 3147
0 ani, Feminin, Total, Mures, Anul 2009, Numar persoane, 3262
0 ani, Feminin, Total, Mures, Anul 2010, Numar persoane, 3144
0 ani, Feminin, Total, Mures, Anul 2011, Numar persoane, 3002
0 ani, Feminin, Total, Mures, Anul 2012, Numar persoane, 2845
1 ani, Masculin, Total, Covasna, Anul 1999, Numar persoane, 1325
1 ani, Masculin, Total, Covasna, Anul 2000, Numar persoane, 1268
1 ani, Masculin, Total, Covasna, Anul 2001, Numar persoane, 1310
1 ani, Masculin, Total, Covasna, Anul 2002, Numar persoane, 1402
1 ani, Masculin, Total, Covasna, Anul 2003, Numar persoane, 1371
1 ani, Masculin, Total, Covasna, Anul 2004, Numar persoane, 1283
1 ani, Masculin, Total, Covasna, Anul 2005, Numar persoane, 1331
1 ani, Masculin, Total, Covasna, Anul 2006, Numar persoane, 1358
1 ani, Masculin, Total, Covasna, Anul 2007, Numar persoane, 1390
1 ani, Masculin, Total, Covasna, Anul 2008, Numar persoane, 1406
1 ani, Masculin, Total, Covasna, Anul 2009, Numar persoane, 1254
1 ani, Masculin, Total, Covasna, Anul 2010, Numar persoane, 1317
1 ani, Masculin, Total, Covasna, Anul 2011, Numar persoane, 1331
1 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1299
1 ani, Masculin, Total, Harghita, Anul 1999, Numar persoane, 2021
1 ani, Masculin, Total, Harghita, Anul 2000, Numar persoane, 1938
1 ani, Masculin, Total, Harghita, Anul 2001, Numar persoane, 1914
1 ani, Masculin, Total, Harghita, Anul 2002, Numar persoane, 1970
1 ani, Masculin, Total, Harghita, Anul 2003, Numar persoane, 1836
1 ani, Masculin, Total, Harghita, Anul 2004, Numar persoane, 1835
1 ani, Masculin, Total, Harghita, Anul 2005, Numar persoane, 1835
1 ani, Masculin, Total, Harghita, Anul 2006, Numar persoane, 1858
1 ani, Masculin, Total, Harghita, Anul 2007, Numar persoane, 1907
1 ani, Masculin, Total, Harghita, Anul 2008, Numar persoane, 1953
1 ani, Masculin, Total, Harghita, Anul 2009, Numar persoane, 1896
1 ani, Masculin, Total, Harghita, Anul 2010, Numar persoane, 1877
1 ani, Masculin, Total, Harghita, Anul 2011, Numar persoane, 1905
1 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1788
1 ani, Masculin, Total, Mures, Anul 1999, Numar persoane, 3385
1 ani, Masculin, Total, Mures, Anul 2000, Numar persoane, 3318
1 ani, Masculin, Total, Mures, Anul 2001, Numar persoane, 3382
1 ani, Masculin, Total, Mures, Anul 2002, Numar persoane, 3577
1 ani, Masculin, Total, Mures, Anul 2003, Numar persoane, 3290
1 ani, Masculin, Total, Mures, Anul 2004, Numar persoane, 3314
1 ani, Masculin, Total, Mures, Anul 2005, Numar persoane, 3332
1 ani, Masculin, Total, Mures, Anul 2006, Numar persoane, 3380
1 ani, Masculin, Total, Mures, Anul 2007, Numar persoane, 3499
1 ani, Masculin, Total, Mures, Anul 2008, Numar persoane, 3351
1 ani, Masculin, Total, Mures, Anul 2009, Numar persoane, 3350
1 ani, Masculin, Total, Mures, Anul 2010, Numar persoane, 3447
1 ani, Masculin, Total, Mures, Anul 2011, Numar persoane, 3388
1 ani, Masculin, Total, Mures, Anul 2012, Numar persoane, 3121
1 ani, Feminin, Total, Covasna, Anul 1999, Numar persoane, 1299
1 ani, Feminin, Total, Covasna, Anul 2000, Numar persoane, 1249
1 ani, Feminin, Total, Covasna, Anul 2001, Numar persoane, 1317
1 ani, Feminin, Total, Covasna, Anul 2002, Numar persoane, 1306
1 ani, Feminin, Total, Covasna, Anul 2003, Numar persoane, 1242
1 ani, Feminin, Total, Covasna, Anul 2004, Numar persoane, 1250
1 ani, Feminin, Total, Covasna, Anul 2005, Numar persoane, 1204
1 ani, Feminin, Total, Covasna, Anul 2006, Numar persoane, 1280
1 ani, Feminin, Total, Covasna, Anul 2007, Numar persoane, 1401
1 ani, Feminin, Total, Covasna, Anul 2008, Numar persoane, 1343
1 ani, Feminin, Total, Covasna, Anul 2009, Numar persoane, 1243
1 ani, Feminin, Total, Covasna, Anul 2010, Numar persoane, 1283
1 ani, Feminin, Total, Covasna, Anul 2011, Numar persoane, 1225
1 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1171
1 ani, Feminin, Total, Harghita, Anul 1999, Numar persoane, 1855
1 ani, Feminin, Total, Harghita, Anul 2000, Numar persoane, 1896
1 ani, Feminin, Total, Harghita, Anul 2001, Numar persoane, 1830
1 ani, Feminin, Total, Harghita, Anul 2002, Numar persoane, 1837
1 ani, Feminin, Total, Harghita, Anul 2003, Numar persoane, 1830
1 ani, Feminin, Total, Harghita, Anul 2004, Numar persoane, 1715
1 ani, Feminin, Total, Harghita, Anul 2005, Numar persoane, 1708
1 ani, Feminin, Total, Harghita, Anul 2006, Numar persoane, 1764
1 ani, Feminin, Total, Harghita, Anul 2007, Numar persoane, 1902
1 ani, Feminin, Total, Harghita, Anul 2008, Numar persoane, 1898
1 ani, Feminin, Total, Harghita, Anul 2009, Numar persoane, 1793
1 ani, Feminin, Total, Harghita, Anul 2010, Numar persoane, 1844
1 ani, Feminin, Total, Harghita, Anul 2011, Numar persoane, 1747
1 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1736
1 ani, Feminin, Total, Mures, Anul 1999, Numar persoane, 3153
1 ani, Feminin, Total, Mures, Anul 2000, Numar persoane, 3288
1 ani, Feminin, Total, Mures, Anul 2001, Numar persoane, 3157
1 ani, Feminin, Total, Mures, Anul 2002, Numar persoane, 3297
1 ani, Feminin, Total, Mures, Anul 2003, Numar persoane, 3120
1 ani, Feminin, Total, Mures, Anul 2004, Numar persoane, 3120
1 ani, Feminin, Total, Mures, Anul 2005, Numar persoane, 3197
1 ani, Feminin, Total, Mures, Anul 2006, Numar persoane, 3180
1 ani, Feminin, Total, Mures, Anul 2007, Numar persoane, 3312
