Nem,Életkor,Város,Iskola,Háztartás,Vallás,Jövedelem,Munkaviszonya,Lakhely,Rászorulók segítése,,
nő,25-34,Igen,felsőfokú,egyedül él,4,3000 RON +,Alkalmazott,Sepsiszék,5,,
nő,25-34,Igen,felsőfokú,2,3,3000 RON +,Alkalmazott,Udvarhelyszék,6,,
nő,45-54,Igen,középiskola,3,3,1000 - 1999,Munkanélküli,Csíkszék,4,,
nő,25-34,Igen,felsőfokú,4,4,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
nő,25-34,Nem,középiskola,4,2,999 RON -,Tanuló / diák,Csíkszék,3,,
nő,25-34,Igen,felsőfokú,2,0,2000 - 2999,Vállalkozó,Udvarhelyszék,5,,
nő,45-54,Nem,középiskola,2,3,999 RON -,Háztartásbeli,Gyergyószék,4,,
nő,15-24,Igen,felsőfokú,3,2,1000 - 1999,Tanuló / diák,Csíkszék,6,,
nő,25-34,Nem,középiskola,3,2,1000 - 1999,Alkalmazott,Csíkszék,6,,
férfi,15-24,Igen,felsőfokú,3,3,2000 - 2999,Alkalmazott,Csíkszék,3,,
férfi,25-34,Igen,felsőfokú,3,3,2000 - 2999,Alkalmazott,Udvarhelyszék,4,,
nő,45-54,Igen,középiskola,egyedül él,0,999 RON -,Munkanélküli,Csíkszék,6,,
férfi,15-24,Igen,felsőfokú,2,2,1000 - 1999,Vállalkozó,Udvarhelyszék,3,,
férfi,25-34,Igen,felsőfokú,egyedül él,3,1000 - 1999,Alkalmazott,Csíkszék,4,,
nő,15-24,Nem,középiskola,4,3,1000 - 1999,Tanuló / diák,Csíkszék,4,,
nő,25-34,Nem,felsőfokú,4,3,1000 - 1999,Alkalmazott,Udvarhelyszék,5,,
nő,45-54,Nem,felsőfokú,4,2,1000 - 1999,Alkalmazott,Csíkszék,8,,
nő,35-44,Nem,középiskola,4,3,999 RON -,Alkalmazott,Sepsiszék,4,,
férfi,45-54,Nem,felsőfokú,2,2,2000 - 2999,Alkalmazott,Udvarhelyszék,3,,
nő,45-54,Igen,középiskola,2,3,999 RON -,Alkalmazott,Csíkszék,6,,
férfi,25-34,Igen,felsőfokú,2,4,999 RON -,Munkanélküli,Udvarhelyszék,6,,
nő,25-34,Nem,középiskola,3,3,1000 - 1999,Alkalmazott,Csíkszék,4,,
nő,15-24,Nem,középiskola,3,3,999 RON -,Tanuló / diák,Sepsiszék,8,,
férfi,15-24,Igen,középiskola,4,-1,1000 - 1999,Alkalmazott,Csíkszék,4,,
nő,15-24,Nem,felsőfokú,3,4,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
nő,15-24,Igen,középiskola,4,2,1000 - 1999,Tanuló / diák,Csíkszék,4,,
férfi,45-54,Igen,középiskola,3,4,1000 - 1999,Alkalmazott,Csíkszék,4,,
nő,35-44,Igen,felsőfokú,5 +,3,999 RON -,Alkalmazott,Csíkszék,4,,
nő,15-24,Nem,középiskola,4,3,999 RON -,Tanuló / diák,Csíkszék,4,,
nő,45-54,Igen,felsőfokú,2,4,999 RON -,Alkalmazott,Csíkszék,3,,
férfi,25-34,Igen,felsőfokú,2,4,2000 - 2999,Alkalmazott,Marosszék,6,,
nő,35-44,Igen,felsőfokú,3,4,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,3,2,2000 - 2999,Alkalmazott,Csíkszék,4,,
férfi,25-34,Igen,felsőfokú,2,3,1000 - 1999,Alkalmazott,Csíkszék,4,,
nő,35-44,Igen,felsőfokú,egyedül él,1,2000 - 2999,Alkalmazott,Udvarhelyszék,4,,
nő,45-54,Igen,középiskola,4,1,999 RON -,Vállalkozó,Marosszék,7,,
férfi,45-54,Nem,középiskola,5 +,4,1000 - 1999,Alkalmazott,Csíkszék,7,,
nő,25-34,Igen,felsőfokú,4,3,999 RON -,Alkalmazott,Csíkszék,6,,
nő,45-54,Igen,felsőfokú,3,4,999 RON -,Alkalmazott,Csíkszék,5,,
férfi,45-54,Nem,középiskola,2,1,999 RON -,Egyéb,Udvarhelyszék,2,,
férfi,15-24,Igen,felsőfokú,4,3,1000 - 1999,Tanuló / diák,Udvarhelyszék,4,,
nő,45-54,Igen,felsőfokú,3,1,1000 - 1999,Alkalmazott,Udvarhelyszék,5,,
nő,15-24,Nem,középiskola,5 +,3,999 RON -,Tanuló / diák,Csíkszék,5,,
nő,25-34,Nem,felsőfokú,2,4,1000 - 1999,Alkalmazott,Csíkszék,4,,
