
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
D Industria prelucratoare, Total, Maramures, Anul 1997, Lei, 523455
D Industria prelucratoare, Total, Maramures, Anul 1998, Lei, 719377
D Industria prelucratoare, Total, Maramures, Anul 1999, Lei, 1138712
D Industria prelucratoare, Total, Maramures, Anul 2000, Lei, 1593671
D Industria prelucratoare, Total, Maramures, Anul 2001, Lei, 2097289
D Industria prelucratoare, Total, Maramures, Anul 2002, Lei, 2540529
D Industria prelucratoare, Total, Maramures, Anul 2003, Lei, 3442090
D Industria prelucratoare, Total, Maramures, Anul 2004, Lei, 4391716
D Industria prelucratoare, Total, Maramures, Anul 2005, Lei, 458
D Industria prelucratoare, Total, Maramures, Anul 2006, Lei, 562
D Industria prelucratoare, Total, Maramures, Anul 2007, Lei, 617
D Industria prelucratoare, Total, Maramures, Anul 2008, Lei, 793
D Industria prelucratoare, Total, Satu Mare, Anul 1991, Lei, 7117
D Industria prelucratoare, Total, Satu Mare, Anul 1992, Lei, 16716
D Industria prelucratoare, Total, Satu Mare, Anul 1993, Lei, 52844
D Industria prelucratoare, Total, Satu Mare, Anul 1994, Lei, 119044
D Industria prelucratoare, Total, Satu Mare, Anul 1995, Lei, 184162
D Industria prelucratoare, Total, Satu Mare, Anul 1996, Lei, 284322
D Industria prelucratoare, Total, Satu Mare, Anul 1997, Lei, 563132
D Industria prelucratoare, Total, Satu Mare, Anul 1998, Lei, 794511
D Industria prelucratoare, Total, Satu Mare, Anul 1999, Lei, 1274672
D Industria prelucratoare, Total, Satu Mare, Anul 2000, Lei, 1635042
D Industria prelucratoare, Total, Satu Mare, Anul 2001, Lei, 2263977
D Industria prelucratoare, Total, Satu Mare, Anul 2002, Lei, 2831858
D Industria prelucratoare, Total, Satu Mare, Anul 2003, Lei, 4079092
D Industria prelucratoare, Total, Satu Mare, Anul 2004, Lei, 5416057
D Industria prelucratoare, Total, Satu Mare, Anul 2005, Lei, 595
D Industria prelucratoare, Total, Satu Mare, Anul 2006, Lei, 689
D Industria prelucratoare, Total, Satu Mare, Anul 2007, Lei, 787
D Industria prelucratoare, Total, Satu Mare, Anul 2008, Lei, 899
D Industria prelucratoare, Total, Salaj, Anul 1991, Lei, 7165
D Industria prelucratoare, Total, Salaj, Anul 1992, Lei, 19066
D Industria prelucratoare, Total, Salaj, Anul 1993, Lei, 55893
D Industria prelucratoare, Total, Salaj, Anul 1994, Lei, 123721
D Industria prelucratoare, Total, Salaj, Anul 1995, Lei, 188345
D Industria prelucratoare, Total, Salaj, Anul 1996, Lei, 285905
D Industria prelucratoare, Total, Salaj, Anul 1997, Lei, 574791
D Industria prelucratoare, Total, Salaj, Anul 1998, Lei, 932490
D Industria prelucratoare, Total, Salaj, Anul 1999, Lei, 1049656
D Industria prelucratoare, Total, Salaj, Anul 2000, Lei, 1735966
D Industria prelucratoare, Total, Salaj, Anul 2001, Lei, 2555300
D Industria prelucratoare, Total, Salaj, Anul 2002, Lei, 3369515
D Industria prelucratoare, Total, Salaj, Anul 2003, Lei, 4592378
D Industria prelucratoare, Total, Salaj, Anul 2004, Lei, 5922127
D Industria prelucratoare, Total, Salaj, Anul 2005, Lei, 689
D Industria prelucratoare, Total, Salaj, Anul 2006, Lei, 745
D Industria prelucratoare, Total, Salaj, Anul 2007, Lei, 868
D Industria prelucratoare, Total, Salaj, Anul 2008, Lei, 1012
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1991, Lei, 7167
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1992, Lei, 19176
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1993, Lei, 58224
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1994, Lei, 131676
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1995, Lei, 207550
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1996, Lei, 331779
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1997, Lei, 619988
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1998, Lei, 945319
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 1999, Lei, 1342599
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2000, Lei, 1880645
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2001, Lei, 2541519
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2002, Lei, 3156533
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2003, Lei, 4123985
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2004, Lei, 5124520
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2005, Lei, 604
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2006, Lei, 679
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2007, Lei, 824
D Industria prelucratoare, Total, Regiunea CENTRU, Anul 2008, Lei, 993
D Industria prelucratoare, Total, Alba, Anul 1991, Lei, 6851
D Industria prelucratoare, Total, Alba, Anul 1992, Lei, 17683
D Industria prelucratoare, Total, Alba, Anul 1993, Lei, 54484
D Industria prelucratoare, Total, Alba, Anul 1994, Lei, 125061
D Industria prelucratoare, Total, Alba, Anul 1995, Lei, 198762
D Industria prelucratoare, Total, Alba, Anul 1996, Lei, 317818
D Industria prelucratoare, Total, Alba, Anul 1997, Lei, 576481
D Industria prelucratoare, Total, Alba, Anul 1998, Lei, 863855
D Industria prelucratoare, Total, Alba, Anul 1999, Lei, 1301571
D Industria prelucratoare, Total, Alba, Anul 2000, Lei, 1708272
D Industria prelucratoare, Total, Alba, Anul 2001, Lei, 2394449
D Industria prelucratoare, Total, Alba, Anul 2002, Lei, 2993787
D Industria prelucratoare, Total, Alba, Anul 2003, Lei, 3966200
D Industria prelucratoare, Total, Alba, Anul 2004, Lei, 4521534
D Industria prelucratoare, Total, Alba, Anul 2005, Lei, 577
D Industria prelucratoare, Total, Alba, Anul 2006, Lei, 646
D Industria prelucratoare, Total, Alba, Anul 2007, Lei, 817
D Industria prelucratoare, Total, Alba, Anul 2008, Lei, 974
D Industria prelucratoare, Total, Brasov, Anul 1991, Lei, 7973
D Industria prelucratoare, Total, Brasov, Anul 1992, Lei, 23156
D Industria prelucratoare, Total, Brasov, Anul 1993, Lei, 67761
D Industria prelucratoare, Total, Brasov, Anul 1994, Lei, 151014
D Industria prelucratoare, Total, Brasov, Anul 1995, Lei, 244152
D Industria prelucratoare, Total, Brasov, Anul 1996, Lei, 415419
D Industria prelucratoare, Total, Brasov, Anul 1997, Lei, 748641
D Industria prelucratoare, Total, Brasov, Anul 1998, Lei, 1130331
D Industria prelucratoare, Total, Brasov, Anul 1999, Lei, 1541388
D Industria prelucratoare, Total, Brasov, Anul 2000, Lei, 2196797
D Industria prelucratoare, Total, Brasov, Anul 2001, Lei, 3065720
D Industria prelucratoare, Total, Brasov, Anul 2002, Lei, 3813589
D Industria prelucratoare, Total, Brasov, Anul 2003, Lei, 4712371
D Industria prelucratoare, Total, Brasov, Anul 2004, Lei, 5353791
D Industria prelucratoare, Total, Brasov, Anul 2005, Lei, 639
D Industria prelucratoare, Total, Brasov, Anul 2006, Lei, 764
D Industria prelucratoare, Total, Brasov, Anul 2007, Lei, 919
D Industria prelucratoare, Total, Brasov, Anul 2008, Lei, 1157
D Industria prelucratoare, Total, Covasna, Anul 1991, Lei, 6854
D Industria prelucratoare, Total, Covasna, Anul 1992, Lei, 18194
D Industria prelucratoare, Total, Covasna, Anul 1993, Lei, 55919
D Industria prelucratoare, Total, Covasna, Anul 1994, Lei, 125564
D Industria prelucratoare, Total, Covasna, Anul 1995, Lei, 189373
D Industria prelucratoare, Total, Covasna, Anul 1996, Lei, 301188
D Industria prelucratoare, Total, Covasna, Anul 1997, Lei, 514865
D Industria prelucratoare, Total, Covasna, Anul 1998, Lei, 901331
D Industria prelucratoare, Total, Covasna, Anul 1999, Lei, 1280575
D Industria prelucratoare, Total, Covasna, Anul 2000, Lei, 1751252
D Industria prelucratoare, Total, Covasna, Anul 2001, Lei, 2291174
D Industria prelucratoare, Total, Covasna, Anul 2002, Lei, 2480656
D Industria prelucratoare, Total, Covasna, Anul 2003, Lei, 3320124
D Industria prelucratoare, Total, Covasna, Anul 2004, Lei, 4378576
D Industria prelucratoare, Total, Covasna, Anul 2005, Lei, 518
D Industria prelucratoare, Total, Covasna, Anul 2006, Lei, 555
D Industria prelucratoare, Total, Covasna, Anul 2007, Lei, 672
D Industria prelucratoare, Total, Covasna, Anul 2008, Lei, 793
D Industria prelucratoare, Total, Harghita, Anul 1991, Lei, 6473
D Industria prelucratoare, Total, Harghita, Anul 1992, Lei, 15732
D Industria prelucratoare, Total, Harghita, Anul 1993, Lei, 47856
D Industria prelucratoare, Total, Harghita, Anul 1994, Lei, 115093
D Industria prelucratoare, Total, Harghita, Anul 1995, Lei, 163730
D Industria prelucratoare, Total, Harghita, Anul 1996, Lei, 245587
D Industria prelucratoare, Total, Harghita, Anul 1997, Lei, 482306
D Industria prelucratoare, Total, Harghita, Anul 1998, Lei, 748343
D Industria prelucratoare, Total, Harghita, Anul 1999, Lei, 1188929
D Industria prelucratoare, Total, Harghita, Anul 2000, Lei, 1627890
D Industria prelucratoare, Total, Harghita, Anul 2001, Lei, 2083173
D Industria prelucratoare, Total, Harghita, Anul 2002, Lei, 2716549
D Industria prelucratoare, Total, Harghita, Anul 2003, Lei, 3617211
D Industria prelucratoare, Total, Harghita, Anul 2004, Lei, 4814834
D Industria prelucratoare, Total, Harghita, Anul 2005, Lei, 572
D Industria prelucratoare, Total, Harghita, Anul 2006, Lei, 601
D Industria prelucratoare, Total, Harghita, Anul 2007, Lei, 683
D Industria prelucratoare, Total, Harghita, Anul 2008, Lei, 819
D Industria prelucratoare, Total, Mures, Anul 1991, Lei, 6794
D Industria prelucratoare, Total, Mures, Anul 1992, Lei, 16842
D Industria prelucratoare, Total, Mures, Anul 1993, Lei, 51590
D Industria prelucratoare, Total, Mures, Anul 1994, Lei, 115148
D Industria prelucratoare, Total, Mures, Anul 1995, Lei, 185709
D Industria prelucratoare, Total, Mures, Anul 1996, Lei, 295059
D Industria prelucratoare, Total, Mures, Anul 1997, Lei, 634450
D Industria prelucratoare, Total, Mures, Anul 1998, Lei, 925379
D Industria prelucratoare, Total, Mures, Anul 1999, Lei, 1311727
D Industria prelucratoare, Total, Mures, Anul 2000, Lei, 1826899
D Industria prelucratoare, Total, Mures, Anul 2001, Lei, 2472018
D Industria prelucratoare, Total, Mures, Anul 2002, Lei, 3077939
D Industria prelucratoare, Total, Mures, Anul 2003, Lei, 4234990
D Industria prelucratoare, Total, Mures, Anul 2004, Lei, 5786778
D Industria prelucratoare, Total, Mures, Anul 2005, Lei, 625
D Industria prelucratoare, Total, Mures, Anul 2006, Lei, 673
D Industria prelucratoare, Total, Mures, Anul 2007, Lei, 836
D Industria prelucratoare, Total, Mures, Anul 2008, Lei, 983
D Industria prelucratoare, Total, Sibiu, Anul 1991, Lei, 6951
D Industria prelucratoare, Total, Sibiu, Anul 1992, Lei, 18096
D Industria prelucratoare, Total, Sibiu, Anul 1993, Lei, 57101
D Industria prelucratoare, Total, Sibiu, Anul 1994, Lei, 130354
D Industria prelucratoare, Total, Sibiu, Anul 1995, Lei, 201686
D Industria prelucratoare, Total, Sibiu, Anul 1996, Lei, 314214
D Industria prelucratoare, Total, Sibiu, Anul 1997, Lei, 569172
D Industria prelucratoare, Total, Sibiu, Anul 1998, Lei, 867461
D Industria prelucratoare, Total, Sibiu, Anul 1999, Lei, 1206058
D Industria prelucratoare, Total, Sibiu, Anul 2000, Lei, 1812001
D Industria prelucratoare, Total, Sibiu, Anul 2001, Lei, 2338269
D Industria prelucratoare, Total, Sibiu, Anul 2002, Lei, 2961777
D Industria prelucratoare, Total, Sibiu, Anul 2003, Lei, 3919897
D Industria prelucratoare, Total, Sibiu, Anul 2004, Lei, 5126155
D Industria prelucratoare, Total, Sibiu, Anul 2005, Lei, 608
D Industria prelucratoare, Total, Sibiu, Anul 2006, Lei, 702
D Industria prelucratoare, Total, Sibiu, Anul 2007, Lei, 849
D Industria prelucratoare, Total, Sibiu, Anul 2008, Lei, 1027
D Industria prelucratoare, Total, MACROREGIUNEA DOI, Anul 2008, Lei, 973
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1991, Lei, 6687
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1992, Lei, 17341
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1993, Lei, 51626
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1994, Lei, 118541
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1995, Lei, 186849
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1996, Lei, 286361
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1997, Lei, 572914
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1998, Lei, 883086
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 1999, Lei, 1208035
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2000, Lei, 1724200
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2001, Lei, 2404704
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2002, Lei, 3014072
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2003, Lei, 3870641
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2004, Lei, 4794753
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2005, Lei, 566
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2006, Lei, 623
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2007, Lei, 751
D Industria prelucratoare, Total, Regiunea NORD-EST, Anul 2008, Lei, 889
D Industria prelucratoare, Total, Bacau, Anul 1991, Lei, 7415
D Industria prelucratoare, Total, Bacau, Anul 1992, Lei, 19873
D Industria prelucratoare, Total, Bacau, Anul 1993, Lei, 54872
D Industria prelucratoare, Total, Bacau, Anul 1994, Lei, 126620
D Industria prelucratoare, Total, Bacau, Anul 1995, Lei, 197125
D Industria prelucratoare, Total, Bacau, Anul 1996, Lei, 312585
D Industria prelucratoare, Total, Bacau, Anul 1997, Lei, 654936
D Industria prelucratoare, Total, Bacau, Anul 1998, Lei, 1018886
D Industria prelucratoare, Total, Bacau, Anul 1999, Lei, 1412771
D Industria prelucratoare, Total, Bacau, Anul 2000, Lei, 1941045
D Industria prelucratoare, Total, Bacau, Anul 2001, Lei, 2804527
D Industria prelucratoare, Total, Bacau, Anul 2002, Lei, 3627478
D Industria prelucratoare, Total, Bacau, Anul 2003, Lei, 4629658
D Industria prelucratoare, Total, Bacau, Anul 2004, Lei, 5330190
D Industria prelucratoare, Total, Bacau, Anul 2005, Lei, 630
D Industria prelucratoare, Total, Bacau, Anul 2006, Lei, 704
D Industria prelucratoare, Total, Bacau, Anul 2007, Lei, 819
D Industria prelucratoare, Total, Bacau, Anul 2008, Lei, 945
D Industria prelucratoare, Total, Botosani, Anul 1991, Lei, 5965
D Industria prelucratoare, Total, Botosani, Anul 1992, Lei, 13514
D Industria prelucratoare, Total, Botosani, Anul 1993, Lei, 42539
D Industria prelucratoare, Total, Botosani, Anul 1994, Lei, 104134
D Industria prelucratoare, Total, Botosani, Anul 1995, Lei, 149340
D Industria prelucratoare, Total, Botosani, Anul 1996, Lei, 227715
D Industria prelucratoare, Total, Botosani, Anul 1997, Lei, 440654
D Industria prelucratoare, Total, Botosani, Anul 1998, Lei, 760778
D Industria prelucratoare, Total, Botosani, Anul 1999, Lei, 1031793
D Industria prelucratoare, Total, Botosani, Anul 2000, Lei, 1471621
D Industria prelucratoare, Total, Botosani, Anul 2001, Lei, 2060593
D Industria prelucratoare, Total, Botosani, Anul 2002, Lei, 2547603
D Industria prelucratoare, Total, Botosani, Anul 2003, Lei, 3404194
D Industria prelucratoare, Total, Botosani, Anul 2004, Lei, 4254657
D Industria prelucratoare, Total, Botosani, Anul 2005, Lei, 519
D Industria prelucratoare, Total, Botosani, Anul 2006, Lei, 525
D Industria prelucratoare, Total, Botosani, Anul 2007, Lei, 671
D Industria prelucratoare, Total, Botosani, Anul 2008, Lei, 775
D Industria prelucratoare, Total, Iasi, Anul 1991, Lei, 6657
D Industria prelucratoare, Total, Iasi, Anul 1992, Lei, 17896
D Industria prelucratoare, Total, Iasi, Anul 1993, Lei, 53048
D Industria prelucratoare, Total, Iasi, Anul 1994, Lei, 117164
D Industria prelucratoare, Total, Iasi, Anul 1995, Lei, 187415
D Industria prelucratoare, Total, Iasi, Anul 1996, Lei, 282136
D Industria prelucratoare, Total, Iasi, Anul 1997, Lei, 571647
D Industria prelucratoare, Total, Iasi, Anul 1998, Lei, 863609
D Industria prelucratoare, Total, Iasi, Anul 1999, Lei, 1222552
D Industria prelucratoare, Total, Iasi, Anul 2000, Lei, 1696781
D Industria prelucratoare, Total, Iasi, Anul 2001, Lei, 2373009
D Industria prelucratoare, Total, Iasi, Anul 2002, Lei, 2890318
D Industria prelucratoare, Total, Iasi, Anul 2003, Lei, 3815359
D Industria prelucratoare, Total, Iasi, Anul 2004, Lei, 5037989
D Industria prelucratoare, Total, Iasi, Anul 2005, Lei, 596
D Industria prelucratoare, Total, Iasi, Anul 2006, Lei, 664
D Industria prelucratoare, Total, Iasi, Anul 2007, Lei, 823
D Industria prelucratoare, Total, Iasi, Anul 2008, Lei, 1008
D Industria prelucratoare, Total, Neamt, Anul 1991, Lei, 6880
D Industria prelucratoare, Total, Neamt, Anul 1992, Lei, 19016
D Industria prelucratoare, Total, Neamt, Anul 1993, Lei, 57554
D Industria prelucratoare, Total, Neamt, Anul 1994, Lei, 125096
D Industria prelucratoare, Total, Neamt, Anul 1995, Lei, 197826
D Industria prelucratoare, Total, Neamt, Anul 1996, Lei, 295063
D Industria prelucratoare, Total, Neamt, Anul 1997, Lei, 590678
D Industria prelucratoare, Total, Neamt, Anul 1998, Lei, 890705
D Industria prelucratoare, Total, Neamt, Anul 1999, Lei, 1200520
D Industria prelucratoare, Total, Neamt, Anul 2000, Lei, 1753521
D Industria prelucratoare, Total, Neamt, Anul 2001, Lei, 2346312
D Industria prelucratoare, Total, Neamt, Anul 2002, Lei, 3042170
D Industria prelucratoare, Total, Neamt, Anul 2003, Lei, 3509636
D Industria prelucratoare, Total, Neamt, Anul 2004, Lei, 4540224
D Industria prelucratoare, Total, Neamt, Anul 2005, Lei, 539
D Industria prelucratoare, Total, Neamt, Anul 2006, Lei, 601
D Industria prelucratoare, Total, Neamt, Anul 2007, Lei, 722
D Industria prelucratoare, Total, Neamt, Anul 2008, Lei, 833
D Industria prelucratoare, Total, Suceava, Anul 1991, Lei, 6245
D Industria prelucratoare, Total, Suceava, Anul 1992, Lei, 14435
D Industria prelucratoare, Total, Suceava, Anul 1993, Lei, 44956
D Industria prelucratoare, Total, Suceava, Anul 1994, Lei, 107594
D Industria prelucratoare, Total, Suceava, Anul 1995, Lei, 176771
D Industria prelucratoare, Total, Suceava, Anul 1996, Lei, 271003
D Industria prelucratoare, Total, Suceava, Anul 1997, Lei, 511788
D Industria prelucratoare, Total, Suceava, Anul 1998, Lei, 749784
D Industria prelucratoare, Total, Suceava, Anul 1999, Lei, 1040087
D Industria prelucratoare, Total, Suceava, Anul 2000, Lei, 1506564
D Industria prelucratoare, Total, Suceava, Anul 2001, Lei, 2087974
D Industria prelucratoare, Total, Suceava, Anul 2002, Lei, 2643421
D Industria prelucratoare, Total, Suceava, Anul 2003, Lei, 3667964
D Industria prelucratoare, Total, Suceava, Anul 2004, Lei, 4382958
D Industria prelucratoare, Total, Suceava, Anul 2005, Lei, 495
D Industria prelucratoare, Total, Suceava, Anul 2006, Lei, 551
D Industria prelucratoare, Total, Suceava, Anul 2007, Lei, 660
D Industria prelucratoare, Total, Suceava, Anul 2008, Lei, 789
D Industria prelucratoare, Total, Vaslui, Anul 1991, Lei, 6451
D Industria prelucratoare, Total, Vaslui, Anul 1992, Lei, 16822
D Industria prelucratoare, Total, Vaslui, Anul 1993, Lei, 50973
D Industria prelucratoare, Total, Vaslui, Anul 1994, Lei, 121618
D Industria prelucratoare, Total, Vaslui, Anul 1995, Lei, 193068
D Industria prelucratoare, Total, Vaslui, Anul 1996, Lei, 296700
D Industria prelucratoare, Total, Vaslui, Anul 1997, Lei, 572689
D Industria prelucratoare, Total, Vaslui, Anul 1998, Lei, 898358
D Industria prelucratoare, Total, Vaslui, Anul 1999, Lei, 1199226
