
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, Buzau, Anul 1998, Lei, 974285
Total, Total, Buzau, Anul 1999, Lei, 1355663
Total, Total, Buzau, Anul 2000, Lei, 1957984
Total, Total, Buzau, Anul 2001, Lei, 2636300
Total, Total, Buzau, Anul 2002, Lei, 3257554
Total, Total, Buzau, Anul 2003, Lei, 4232164
Total, Total, Buzau, Anul 2004, Lei, 5263701
Total, Total, Buzau, Anul 2005, Lei, 639
Total, Total, Buzau, Anul 2006, Lei, 724
Total, Total, Buzau, Anul 2007, Lei, 878
Total, Total, Buzau, Anul 2008, Lei, 1106
Total, Total, Constanta, Anul 1991, Lei, 7879
Total, Total, Constanta, Anul 1992, Lei, 22209
Total, Total, Constanta, Anul 1993, Lei, 65946
Total, Total, Constanta, Anul 1994, Lei, 159096
Total, Total, Constanta, Anul 1995, Lei, 240115
Total, Total, Constanta, Anul 1996, Lei, 369740
Total, Total, Constanta, Anul 1997, Lei, 725173
Total, Total, Constanta, Anul 1998, Lei, 1216718
Total, Total, Constanta, Anul 1999, Lei, 1725228
Total, Total, Constanta, Anul 2000, Lei, 2414694
Total, Total, Constanta, Anul 2001, Lei, 3333864
Total, Total, Constanta, Anul 2002, Lei, 4067551
Total, Total, Constanta, Anul 2003, Lei, 5297069
Total, Total, Constanta, Anul 2004, Lei, 6249970
Total, Total, Constanta, Anul 2005, Lei, 780
Total, Total, Constanta, Anul 2006, Lei, 914
Total, Total, Constanta, Anul 2007, Lei, 1065
Total, Total, Constanta, Anul 2008, Lei, 1291
Total, Total, Galati, Anul 1991, Lei, 8015
Total, Total, Galati, Anul 1992, Lei, 22069
Total, Total, Galati, Anul 1993, Lei, 65010
Total, Total, Galati, Anul 1994, Lei, 157657
Total, Total, Galati, Anul 1995, Lei, 241581
Total, Total, Galati, Anul 1996, Lei, 386455
Total, Total, Galati, Anul 1997, Lei, 748719
Total, Total, Galati, Anul 1998, Lei, 1159325
Total, Total, Galati, Anul 1999, Lei, 1595022
Total, Total, Galati, Anul 2000, Lei, 2404986
Total, Total, Galati, Anul 2001, Lei, 3427203
Total, Total, Galati, Anul 2002, Lei, 4155061
Total, Total, Galati, Anul 2003, Lei, 5116570
Total, Total, Galati, Anul 2004, Lei, 6204587
Total, Total, Galati, Anul 2005, Lei, 735
Total, Total, Galati, Anul 2006, Lei, 834
Total, Total, Galati, Anul 2007, Lei, 997
Total, Total, Galati, Anul 2008, Lei, 1219
Total, Total, Tulcea, Anul 1991, Lei, 6823
Total, Total, Tulcea, Anul 1992, Lei, 19210
