
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2003, Lei RON, 469
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2004, Lei RON, 553
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2005, Lei RON, 680
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2006, Lei RON, 783
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2007, Lei RON, 892
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2008, Lei RON, 1055
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2009, Lei RON, 1201
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2010, Lei RON, 1283
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2011, Lei RON, 1348
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2012, Lei RON, 1426
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2013, Lei RON, 1567
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2000, Lei RON, 222
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2001, Lei RON, 312
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2002, Lei RON, 396
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2003, Lei RON, 457
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2004, Lei RON, 544
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2005, Lei RON, 659
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2006, Lei RON, 707
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2007, Lei RON, 854
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2008, Lei RON, 1143
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2009, Lei RON, 1152
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2010, Lei RON, 1283
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2011, Lei RON, 1447
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2012, Lei RON, 1488
Total, Total, 18 Tiparire si reproducerea pe suporti a inregistrarilor, Anul 2013, Lei RON, 1639
Total, Total, 19 Fabricarea produselor de cocserie si a produselor obtinute din prelucrarea titeiului, Anul 2000, Lei RON, 371
Total, Total, 19 Fabricarea produselor de cocserie si a produselor obtinute din prelucrarea titeiului, Anul 2001, Lei RON, 555
Total, Total, 19 Fabricarea produselor de cocserie si a produselor obtinute din prelucrarea titeiului, Anul 2002, Lei RON, 790
