
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2011, Mii EURO, 255
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2011, Mii EURO, 281
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2011, Mii EURO, 166
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2011, Mii EURO, 306
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2011, Mii EURO, 322
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2011, Mii EURO, 128
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2011, Mii EURO, 320
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2011, Mii EURO, 259
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2012, Mii EURO, 359
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2012, Mii EURO, 222
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2012, Mii EURO, 184
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2012, Mii EURO, 294
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2012, Mii EURO, 367
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2012, Mii EURO, 298
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2012, Mii EURO, 340
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2012, Mii EURO, 237
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2012, Mii EURO, 158
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2012, Mii EURO, 264
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2012, Mii EURO, 189
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2012, Mii EURO, 135
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2013, Mii EURO, 184
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2013, Mii EURO, 203
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2013, Mii EURO, 290
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2013, Mii EURO, 152
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2013, Mii EURO, 185
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2013, Mii EURO, 244
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2013, Mii EURO, 239
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2013, Mii EURO, 95
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2013, Mii EURO, 201
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2013, Mii EURO, 273
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2013, Mii EURO, 273
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2013, Mii EURO, 142
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2014, Mii EURO, 182
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2014, Mii EURO, 263
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2014, Mii EURO, 277
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2014, Mii EURO, 214
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2014, Mii EURO, 183
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2014, Mii EURO, 171
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2014, Mii EURO, 141
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2014, Mii EURO, 164
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2014, Mii EURO, 192
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2014, Mii EURO, 181
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2014, Mii EURO, 274
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2014, Mii EURO, 123
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2015, Mii EURO, 224
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2015, Mii EURO, 292
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2015, Mii EURO, 374
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2015, Mii EURO, 194
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2015, Mii EURO, 200
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2015, Mii EURO, 161
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2015, Mii EURO, 185
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2015, Mii EURO, 167
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2015, Mii EURO, 193
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2015, Mii EURO, 421
