
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Stejar, Dolj, Anul 2007, Mii metri cubi, 35.2
Stejar, Dolj, Anul 2008, Mii metri cubi, 43.5
Stejar, Dolj, Anul 2009, Mii metri cubi, 34
Stejar, Dolj, Anul 2010, Mii metri cubi, 38.4
Stejar, Dolj, Anul 2011, Mii metri cubi, 34.7
Stejar, Dolj, Anul 2012, Mii metri cubi, 37.3
Stejar, Dolj, Anul 2013, Mii metri cubi, 40.9
Stejar, Dolj, Anul 2014, Mii metri cubi, 37.2
Stejar, Dolj, Anul 2015, Mii metri cubi, 39.5
Stejar, Gorj, Anul 1990, Mii metri cubi, 178.9
Stejar, Gorj, Anul 1991, Mii metri cubi, 140.7
Stejar, Gorj, Anul 1992, Mii metri cubi, 123.7
Stejar, Gorj, Anul 1993, Mii metri cubi, 96.8
Stejar, Gorj, Anul 1994, Mii metri cubi, 91.2
Stejar, Gorj, Anul 1995, Mii metri cubi, 79.9
Stejar, Gorj, Anul 1996, Mii metri cubi, 98
Stejar, Gorj, Anul 1997, Mii metri cubi, 92.1
Stejar, Gorj, Anul 1998, Mii metri cubi, 67.9
Stejar, Gorj, Anul 1999, Mii metri cubi, 66.5
Stejar, Gorj, Anul 2000, Mii metri cubi, 52.9
Stejar, Gorj, Anul 2001, Mii metri cubi, 43.6
Stejar, Gorj, Anul 2002, Mii metri cubi, 54.3
Stejar, Gorj, Anul 2003, Mii metri cubi, 49.7
Stejar, Gorj, Anul 2004, Mii metri cubi, 67.6
Stejar, Gorj, Anul 2005, Mii metri cubi, 55.5
Stejar, Gorj, Anul 2006, Mii metri cubi, 64.8
Stejar, Gorj, Anul 2007, Mii metri cubi, 54.8
Stejar, Gorj, Anul 2008, Mii metri cubi, 55.6
Stejar, Gorj, Anul 2009, Mii metri cubi, 20.2
Stejar, Gorj, Anul 2010, Mii metri cubi, 56.9
Stejar, Gorj, Anul 2011, Mii metri cubi, 71.2
Stejar, Gorj, Anul 2012, Mii metri cubi, 63.6
Stejar, Gorj, Anul 2013, Mii metri cubi, 56.3
Stejar, Gorj, Anul 2014, Mii metri cubi, 56.9
Stejar, Gorj, Anul 2015, Mii metri cubi, 78.6
Stejar, Mehedinti, Anul 1990, Mii metri cubi, 115.1
Stejar, Mehedinti, Anul 1991, Mii metri cubi, 98.5
Stejar, Mehedinti, Anul 1992, Mii metri cubi, 110.7
Stejar, Mehedinti, Anul 1993, Mii metri cubi, 116.7
Stejar, Mehedinti, Anul 1994, Mii metri cubi, 101.5
Stejar, Mehedinti, Anul 1995, Mii metri cubi, 95.4
Stejar, Mehedinti, Anul 1996, Mii metri cubi, 106.6
Stejar, Mehedinti, Anul 1997, Mii metri cubi, 92.6
Stejar, Mehedinti, Anul 1998, Mii metri cubi, 70.9
Stejar, Mehedinti, Anul 1999, Mii metri cubi, 64.8
Stejar, Mehedinti, Anul 2000, Mii metri cubi, 63
Stejar, Mehedinti, Anul 2001, Mii metri cubi, 53.1
Stejar, Mehedinti, Anul 2002, Mii metri cubi, 62.3
Stejar, Mehedinti, Anul 2003, Mii metri cubi, 57.9
Stejar, Mehedinti, Anul 2004, Mii metri cubi, 58.5
Stejar, Mehedinti, Anul 2005, Mii metri cubi, 62.7
Stejar, Mehedinti, Anul 2006, Mii metri cubi, 71.6
Stejar, Mehedinti, Anul 2007, Mii metri cubi, 65.4
Stejar, Mehedinti, Anul 2008, Mii metri cubi, 62.7
Stejar, Mehedinti, Anul 2009, Mii metri cubi, 52.7
Stejar, Mehedinti, Anul 2010, Mii metri cubi, 55.3
Stejar, Mehedinti, Anul 2011, Mii metri cubi, 56.3
Stejar, Mehedinti, Anul 2012, Mii metri cubi, 52.2
Stejar, Mehedinti, Anul 2013, Mii metri cubi, 62
Stejar, Mehedinti, Anul 2014, Mii metri cubi, 61
Stejar, Mehedinti, Anul 2015, Mii metri cubi, 68.6
Stejar, Olt, Anul 1990, Mii metri cubi, 70
Stejar, Olt, Anul 1991, Mii metri cubi, 83.8
Stejar, Olt, Anul 1992, Mii metri cubi, 58.1
Stejar, Olt, Anul 1993, Mii metri cubi, 58.7
Stejar, Olt, Anul 1994, Mii metri cubi, 73.3
Stejar, Olt, Anul 1995, Mii metri cubi, 69
Stejar, Olt, Anul 1996, Mii metri cubi, 79.6
Stejar, Olt, Anul 1997, Mii metri cubi, 57.6
Stejar, Olt, Anul 1998, Mii metri cubi, 57.6
Stejar, Olt, Anul 1999, Mii metri cubi, 53.5
Stejar, Olt, Anul 2000, Mii metri cubi, 47.7
Stejar, Olt, Anul 2001, Mii metri cubi, 53.5
Stejar, Olt, Anul 2002, Mii metri cubi, 48.5
Stejar, Olt, Anul 2003, Mii metri cubi, 40.4
Stejar, Olt, Anul 2004, Mii metri cubi, 48.9
Stejar, Olt, Anul 2005, Mii metri cubi, 52
Stejar, Olt, Anul 2006, Mii metri cubi, 49.5
Stejar, Olt, Anul 2007, Mii metri cubi, 50.5
Stejar, Olt, Anul 2008, Mii metri cubi, 40.4
Stejar, Olt, Anul 2009, Mii metri cubi, 32.6
Stejar, Olt, Anul 2010, Mii metri cubi, 36.3
Stejar, Olt, Anul 2011, Mii metri cubi, 39.8
Stejar, Olt, Anul 2012, Mii metri cubi, 44
Stejar, Olt, Anul 2013, Mii metri cubi, 41.9
Stejar, Olt, Anul 2014, Mii metri cubi, 45.6
Stejar, Olt, Anul 2015, Mii metri cubi, 50.1
Stejar, Valcea, Anul 1990, Mii metri cubi, 139.4
Stejar, Valcea, Anul 1991, Mii metri cubi, 134.8
Stejar, Valcea, Anul 1992, Mii metri cubi, 127.6
Stejar, Valcea, Anul 1993, Mii metri cubi, 101.5
Stejar, Valcea, Anul 1994, Mii metri cubi, 112
Stejar, Valcea, Anul 1995, Mii metri cubi, 86.3
Stejar, Valcea, Anul 1996, Mii metri cubi, 84.5
Stejar, Valcea, Anul 1997, Mii metri cubi, 74.7
Stejar, Valcea, Anul 1998, Mii metri cubi, 52.6
Stejar, Valcea, Anul 1999, Mii metri cubi, 47.8
Stejar, Valcea, Anul 2000, Mii metri cubi, 60.2
Stejar, Valcea, Anul 2001, Mii metri cubi, 53
Stejar, Valcea, Anul 2002, Mii metri cubi, 64
Stejar, Valcea, Anul 2003, Mii metri cubi, 60
Stejar, Valcea, Anul 2004, Mii metri cubi, 67.2
Stejar, Valcea, Anul 2005, Mii metri cubi, 61.8
Stejar, Valcea, Anul 2006, Mii metri cubi, 40.9
Stejar, Valcea, Anul 2007, Mii metri cubi, 44
Stejar, Valcea, Anul 2008, Mii metri cubi, 60.7
Stejar, Valcea, Anul 2009, Mii metri cubi, 42.9
Stejar, Valcea, Anul 2010, Mii metri cubi, 39.9
Stejar, Valcea, Anul 2011, Mii metri cubi, 36.8
Stejar, Valcea, Anul 2012, Mii metri cubi, 52.4
Stejar, Valcea, Anul 2013, Mii metri cubi, 48.9
Stejar, Valcea, Anul 2014, Mii metri cubi, 51.8
Stejar, Valcea, Anul 2015, Mii metri cubi, 52.9
Stejar, Arad, Anul 1990, Mii metri cubi, 189.9
Stejar, Arad, Anul 1991, Mii metri cubi, 163.2
Stejar, Arad, Anul 1992, Mii metri cubi, 162.5
Stejar, Arad, Anul 1993, Mii metri cubi, 171.1
Stejar, Arad, Anul 1994, Mii metri cubi, 173.4
Stejar, Arad, Anul 1995, Mii metri cubi, 163.9
Stejar, Arad, Anul 1996, Mii metri cubi, 180.8
Stejar, Arad, Anul 1997, Mii metri cubi, 153.1
Stejar, Arad, Anul 1998, Mii metri cubi, 138.7
Stejar, Arad, Anul 1999, Mii metri cubi, 138.1
Stejar, Arad, Anul 2000, Mii metri cubi, 138.2
Stejar, Arad, Anul 2001, Mii metri cubi, 137.4
Stejar, Arad, Anul 2002, Mii metri cubi, 180.4
Stejar, Arad, Anul 2003, Mii metri cubi, 147.2
Stejar, Arad, Anul 2004, Mii metri cubi, 166.3
Stejar, Arad, Anul 2005, Mii metri cubi, 167.9
Stejar, Arad, Anul 2006, Mii metri cubi, 210.6
Stejar, Arad, Anul 2007, Mii metri cubi, 206.5
Stejar, Arad, Anul 2008, Mii metri cubi, 218
Stejar, Arad, Anul 2009, Mii metri cubi, 209.1
Stejar, Arad, Anul 2010, Mii metri cubi, 223.3
Stejar, Arad, Anul 2011, Mii metri cubi, 234.8
Stejar, Arad, Anul 2012, Mii metri cubi, 217.2
Stejar, Arad, Anul 2013, Mii metri cubi, 225.8
Stejar, Arad, Anul 2014, Mii metri cubi, 203.6
Stejar, Arad, Anul 2015, Mii metri cubi, 223.7
Stejar, Caras-Severin, Anul 1990, Mii metri cubi, 57.4
Stejar, Caras-Severin, Anul 1991, Mii metri cubi, 52.4
Stejar, Caras-Severin, Anul 1992, Mii metri cubi, 66
Stejar, Caras-Severin, Anul 1993, Mii metri cubi, 50.9
Stejar, Caras-Severin, Anul 1994, Mii metri cubi, 59.1
Stejar, Caras-Severin, Anul 1995, Mii metri cubi, 49.3
Stejar, Caras-Severin, Anul 1996, Mii metri cubi, 50.7
Stejar, Caras-Severin, Anul 1997, Mii metri cubi, 44.1
Stejar, Caras-Severin, Anul 1998, Mii metri cubi, 39.7
Stejar, Caras-Severin, Anul 1999, Mii metri cubi, 29.7
Stejar, Caras-Severin, Anul 2000, Mii metri cubi, 29.1
Stejar, Caras-Severin, Anul 2001, Mii metri cubi, 31.8
Stejar, Caras-Severin, Anul 2002, Mii metri cubi, 53.2
Stejar, Caras-Severin, Anul 2003, Mii metri cubi, 60
Stejar, Caras-Severin, Anul 2004, Mii metri cubi, 58.8
Stejar, Caras-Severin, Anul 2005, Mii metri cubi, 56.9
Stejar, Caras-Severin, Anul 2006, Mii metri cubi, 60.3
Stejar, Caras-Severin, Anul 2007, Mii metri cubi, 49.7
Stejar, Caras-Severin, Anul 2008, Mii metri cubi, 76.6
Stejar, Caras-Severin, Anul 2009, Mii metri cubi, 54
Stejar, Caras-Severin, Anul 2010, Mii metri cubi, 55
Stejar, Caras-Severin, Anul 2011, Mii metri cubi, 69.4
Stejar, Caras-Severin, Anul 2012, Mii metri cubi, 64
Stejar, Caras-Severin, Anul 2013, Mii metri cubi, 68.3
Stejar, Caras-Severin, Anul 2014, Mii metri cubi, 62.1
Stejar, Caras-Severin, Anul 2015, Mii metri cubi, 65.9
Stejar, Hunedoara, Anul 1990, Mii metri cubi, 42.6
Stejar, Hunedoara, Anul 1991, Mii metri cubi, 31.4
Stejar, Hunedoara, Anul 1992, Mii metri cubi, 29.5
Stejar, Hunedoara, Anul 1993, Mii metri cubi, 21.1
Stejar, Hunedoara, Anul 1994, Mii metri cubi, 31.6
Stejar, Hunedoara, Anul 1995, Mii metri cubi, 24.5
Stejar, Hunedoara, Anul 1996, Mii metri cubi, 22
Stejar, Hunedoara, Anul 1997, Mii metri cubi, 22.2
Stejar, Hunedoara, Anul 1998, Mii metri cubi, 17.7
Stejar, Hunedoara, Anul 1999, Mii metri cubi, 18.9
Stejar, Hunedoara, Anul 2000, Mii metri cubi, 17.8
Stejar, Hunedoara, Anul 2001, Mii metri cubi, 15
Stejar, Hunedoara, Anul 2002, Mii metri cubi, 19
Stejar, Hunedoara, Anul 2003, Mii metri cubi, 24.6
Stejar, Hunedoara, Anul 2004, Mii metri cubi, 28.4
Stejar, Hunedoara, Anul 2005, Mii metri cubi, 25.1
Stejar, Hunedoara, Anul 2006, Mii metri cubi, 22.3
Stejar, Hunedoara, Anul 2007, Mii metri cubi, 22
Stejar, Hunedoara, Anul 2008, Mii metri cubi, 20.2
Stejar, Hunedoara, Anul 2009, Mii metri cubi, 27.1
Stejar, Hunedoara, Anul 2010, Mii metri cubi, 22.6
Stejar, Hunedoara, Anul 2011, Mii metri cubi, 39.1
Stejar, Hunedoara, Anul 2012, Mii metri cubi, 42.8
Stejar, Hunedoara, Anul 2013, Mii metri cubi, 42.8
Stejar, Hunedoara, Anul 2014, Mii metri cubi, 44.5
Stejar, Hunedoara, Anul 2015, Mii metri cubi, 48
Stejar, Timis, Anul 1990, Mii metri cubi, 77.6
Stejar, Timis, Anul 1991, Mii metri cubi, 76.3
Stejar, Timis, Anul 1992, Mii metri cubi, 86.9
Stejar, Timis, Anul 1993, Mii metri cubi, 79
Stejar, Timis, Anul 1994, Mii metri cubi, 81.6
Stejar, Timis, Anul 1995, Mii metri cubi, 82.3
Stejar, Timis, Anul 1996, Mii metri cubi, 93.4
Stejar, Timis, Anul 1997, Mii metri cubi, 85
Stejar, Timis, Anul 1998, Mii metri cubi, 84.1
Stejar, Timis, Anul 1999, Mii metri cubi, 115.9
Stejar, Timis, Anul 2000, Mii metri cubi, 95.8
Stejar, Timis, Anul 2001, Mii metri cubi, 102.4
Stejar, Timis, Anul 2002, Mii metri cubi, 111.7
Stejar, Timis, Anul 2003, Mii metri cubi, 103.9
Stejar, Timis, Anul 2004, Mii metri cubi, 109.9
Stejar, Timis, Anul 2005, Mii metri cubi, 125.7
Stejar, Timis, Anul 2006, Mii metri cubi, 121.8
Stejar, Timis, Anul 2007, Mii metri cubi, 115.7
Stejar, Timis, Anul 2008, Mii metri cubi, 107
Stejar, Timis, Anul 2009, Mii metri cubi, 108.4
Stejar, Timis, Anul 2010, Mii metri cubi, 112.3
Stejar, Timis, Anul 2011, Mii metri cubi, 117.5
Stejar, Timis, Anul 2012, Mii metri cubi, 107.2
Stejar, Timis, Anul 2013, Mii metri cubi, 115.1
Stejar, Timis, Anul 2014, Mii metri cubi, 93.8
Stejar, Timis, Anul 2015, Mii metri cubi, 98.4
Diverse specii tari, Bihor, Anul 1990, Mii metri cubi, 73.4
Diverse specii tari, Bihor, Anul 1991, Mii metri cubi, 98.5
Diverse specii tari, Bihor, Anul 1992, Mii metri cubi, 112.3
Diverse specii tari, Bihor, Anul 1993, Mii metri cubi, 92
Diverse specii tari, Bihor, Anul 1994, Mii metri cubi, 72.4
Diverse specii tari, Bihor, Anul 1995, Mii metri cubi, 72.6
Diverse specii tari, Bihor, Anul 1996, Mii metri cubi, 68.6
Diverse specii tari, Bihor, Anul 1997, Mii metri cubi, 80
Diverse specii tari, Bihor, Anul 1998, Mii metri cubi, 65
Diverse specii tari, Bihor, Anul 1999, Mii metri cubi, 75.5
Diverse specii tari, Bihor, Anul 2000, Mii metri cubi, 72.7
Diverse specii tari, Bihor, Anul 2001, Mii metri cubi, 59
Diverse specii tari, Bihor, Anul 2002, Mii metri cubi, 72.4
Diverse specii tari, Bihor, Anul 2003, Mii metri cubi, 79.1
Diverse specii tari, Bihor, Anul 2004, Mii metri cubi, 82.5
Diverse specii tari, Bihor, Anul 2005, Mii metri cubi, 52.6
Diverse specii tari, Bihor, Anul 2006, Mii metri cubi, 70.3
Diverse specii tari, Bihor, Anul 2007, Mii metri cubi, 66.1
Diverse specii tari, Bihor, Anul 2008, Mii metri cubi, 89.8
Diverse specii tari, Bihor, Anul 2009, Mii metri cubi, 73
Diverse specii tari, Bihor, Anul 2010, Mii metri cubi, 63.1
Diverse specii tari, Bihor, Anul 2011, Mii metri cubi, 71.1
Diverse specii tari, Bihor, Anul 2012, Mii metri cubi, 72.7
Diverse specii tari, Bihor, Anul 2013, Mii metri cubi, 69.1
Diverse specii tari, Bihor, Anul 2014, Mii metri cubi, 71.4
Diverse specii tari, Bihor, Anul 2015, Mii metri cubi, 66.4
Diverse specii tari, Bistrita-Nasaud, Anul 1990, Mii metri cubi, 23.8
Diverse specii tari, Bistrita-Nasaud, Anul 1991, Mii metri cubi, 19.1
Diverse specii tari, Bistrita-Nasaud, Anul 1992, Mii metri cubi, 20.5
Diverse specii tari, Bistrita-Nasaud, Anul 1993, Mii metri cubi, 20
Diverse specii tari, Bistrita-Nasaud, Anul 1994, Mii metri cubi, 24.5
Diverse specii tari, Bistrita-Nasaud, Anul 1995, Mii metri cubi, 24.2
Diverse specii tari, Bistrita-Nasaud, Anul 1996, Mii metri cubi, 22.2
Diverse specii tari, Bistrita-Nasaud, Anul 1997, Mii metri cubi, 22.6
Diverse specii tari, Bistrita-Nasaud, Anul 1998, Mii metri cubi, 17
Diverse specii tari, Bistrita-Nasaud, Anul 1999, Mii metri cubi, 26.9
Diverse specii tari, Bistrita-Nasaud, Anul 2000, Mii metri cubi, 18.9
Diverse specii tari, Bistrita-Nasaud, Anul 2001, Mii metri cubi, 16.3
Diverse specii tari, Bistrita-Nasaud, Anul 2002, Mii metri cubi, 24.4
Diverse specii tari, Bistrita-Nasaud, Anul 2003, Mii metri cubi, 26.1
Diverse specii tari, Bistrita-Nasaud, Anul 2004, Mii metri cubi, 27.3
Diverse specii tari, Bistrita-Nasaud, Anul 2005, Mii metri cubi, 22.2
Diverse specii tari, Bistrita-Nasaud, Anul 2006, Mii metri cubi, 27.8
Diverse specii tari, Bistrita-Nasaud, Anul 2007, Mii metri cubi, 26.3
Diverse specii tari, Bistrita-Nasaud, Anul 2008, Mii metri cubi, 19.5
Diverse specii tari, Bistrita-Nasaud, Anul 2009, Mii metri cubi, 28.2
Diverse specii tari, Bistrita-Nasaud, Anul 2010, Mii metri cubi, 19.9
Diverse specii tari, Bistrita-Nasaud, Anul 2011, Mii metri cubi, 32.1
Diverse specii tari, Bistrita-Nasaud, Anul 2012, Mii metri cubi, 33.8
Diverse specii tari, Bistrita-Nasaud, Anul 2013, Mii metri cubi, 34.6
Diverse specii tari, Bistrita-Nasaud, Anul 2014, Mii metri cubi, 34.4
Diverse specii tari, Bistrita-Nasaud, Anul 2015, Mii metri cubi, 36.9
Diverse specii tari, Cluj, Anul 1990, Mii metri cubi, 47.5
Diverse specii tari, Cluj, Anul 1991, Mii metri cubi, 40.9
Diverse specii tari, Cluj, Anul 1992, Mii metri cubi, 34
Diverse specii tari, Cluj, Anul 1993, Mii metri cubi, 32.8
Diverse specii tari, Cluj, Anul 1994, Mii metri cubi, 29.6
Diverse specii tari, Cluj, Anul 1995, Mii metri cubi, 28.8
Diverse specii tari, Cluj, Anul 1996, Mii metri cubi, 29.8
Diverse specii tari, Cluj, Anul 1997, Mii metri cubi, 27.6
Diverse specii tari, Cluj, Anul 1998, Mii metri cubi, 18.9
Diverse specii tari, Cluj, Anul 1999, Mii metri cubi, 30.7
Diverse specii tari, Cluj, Anul 2000, Mii metri cubi, 23.3
Diverse specii tari, Cluj, Anul 2001, Mii metri cubi, 18.6
Diverse specii tari, Cluj, Anul 2002, Mii metri cubi, 29.4
Diverse specii tari, Cluj, Anul 2003, Mii metri cubi, 27.6
Diverse specii tari, Cluj, Anul 2004, Mii metri cubi, 31
Diverse specii tari, Cluj, Anul 2005, Mii metri cubi, 29.4
Diverse specii tari, Cluj, Anul 2006, Mii metri cubi, 29.9
Diverse specii tari, Cluj, Anul 2007, Mii metri cubi, 22.9
Diverse specii tari, Cluj, Anul 2008, Mii metri cubi, 27.9
Diverse specii tari, Cluj, Anul 2009, Mii metri cubi, 27.2
Diverse specii tari, Cluj, Anul 2010, Mii metri cubi, 27.2
Diverse specii tari, Cluj, Anul 2011, Mii metri cubi, 25.6
Diverse specii tari, Cluj, Anul 2012, Mii metri cubi, 32.2
Diverse specii tari, Cluj, Anul 2013, Mii metri cubi, 29.6
Diverse specii tari, Cluj, Anul 2014, Mii metri cubi, 27.8
Diverse specii tari, Cluj, Anul 2015, Mii metri cubi, 32.6
Diverse specii tari, Maramures, Anul 1990, Mii metri cubi, 58.5
Diverse specii tari, Maramures, Anul 1991, Mii metri cubi, 53.9
Diverse specii tari, Maramures, Anul 1992, Mii metri cubi, 35.5
Diverse specii tari, Maramures, Anul 1993, Mii metri cubi, 31.3
Diverse specii tari, Maramures, Anul 1994, Mii metri cubi, 34.2
Diverse specii tari, Maramures, Anul 1995, Mii metri cubi, 31.8
Diverse specii tari, Maramures, Anul 1996, Mii metri cubi, 35.2
Diverse specii tari, Maramures, Anul 1997, Mii metri cubi, 28.3
Diverse specii tari, Maramures, Anul 1998, Mii metri cubi, 19.2
Diverse specii tari, Maramures, Anul 1999, Mii metri cubi, 14.7
Diverse specii tari, Maramures, Anul 2000, Mii metri cubi, 20.3
Diverse specii tari, Maramures, Anul 2001, Mii metri cubi, 19.1
Diverse specii tari, Maramures, Anul 2002, Mii metri cubi, 27.3
Diverse specii tari, Maramures, Anul 2003, Mii metri cubi, 20.9
Diverse specii tari, Maramures, Anul 2004, Mii metri cubi, 32.4
Diverse specii tari, Maramures, Anul 2005, Mii metri cubi, 25.6
Diverse specii tari, Maramures, Anul 2006, Mii metri cubi, 25.4
Diverse specii tari, Maramures, Anul 2007, Mii metri cubi, 25
Diverse specii tari, Maramures, Anul 2008, Mii metri cubi, 23.3
Diverse specii tari, Maramures, Anul 2009, Mii metri cubi, 24.8
Diverse specii tari, Maramures, Anul 2010, Mii metri cubi, 25
Diverse specii tari, Maramures, Anul 2011, Mii metri cubi, 30.9
Diverse specii tari, Maramures, Anul 2012, Mii metri cubi, 31.4
Diverse specii tari, Maramures, Anul 2013, Mii metri cubi, 29.1
Diverse specii tari, Maramures, Anul 2014, Mii metri cubi, 26.8
Diverse specii tari, Maramures, Anul 2015, Mii metri cubi, 37.6
Diverse specii tari, Satu Mare, Anul 1990, Mii metri cubi, 36.4
Diverse specii tari, Satu Mare, Anul 1991, Mii metri cubi, 28.8
Diverse specii tari, Satu Mare, Anul 1992, Mii metri cubi, 32.8
Diverse specii tari, Satu Mare, Anul 1993, Mii metri cubi, 26.5
Diverse specii tari, Satu Mare, Anul 1994, Mii metri cubi, 31.1
Diverse specii tari, Satu Mare, Anul 1995, Mii metri cubi, 22.5
Diverse specii tari, Satu Mare, Anul 1996, Mii metri cubi, 31
Diverse specii tari, Satu Mare, Anul 1997, Mii metri cubi, 26.7
Diverse specii tari, Satu Mare, Anul 1998, Mii metri cubi, 16.7
Diverse specii tari, Satu Mare, Anul 1999, Mii metri cubi, 23.1
Diverse specii tari, Satu Mare, Anul 2000, Mii metri cubi, 36.2
Diverse specii tari, Satu Mare, Anul 2001, Mii metri cubi, 26.3
Diverse specii tari, Satu Mare, Anul 2002, Mii metri cubi, 39.3
Diverse specii tari, Satu Mare, Anul 2003, Mii metri cubi, 29.7
Diverse specii tari, Satu Mare, Anul 2004, Mii metri cubi, 34.9
Diverse specii tari, Satu Mare, Anul 2005, Mii metri cubi, 31.7
Diverse specii tari, Satu Mare, Anul 2006, Mii metri cubi, 31.9
Diverse specii tari, Satu Mare, Anul 2007, Mii metri cubi, 28.4
Diverse specii tari, Satu Mare, Anul 2008, Mii metri cubi, 24.5
Diverse specii tari, Satu Mare, Anul 2009, Mii metri cubi, 29.3
Diverse specii tari, Satu Mare, Anul 2010, Mii metri cubi, 29.2
Diverse specii tari, Satu Mare, Anul 2011, Mii metri cubi, 29
Diverse specii tari, Satu Mare, Anul 2012, Mii metri cubi, 31.1
Diverse specii tari, Satu Mare, Anul 2013, Mii metri cubi, 30.7
Diverse specii tari, Satu Mare, Anul 2014, Mii metri cubi, 26.8
Diverse specii tari, Satu Mare, Anul 2015, Mii metri cubi, 30.2
Diverse specii tari, Salaj, Anul 1990, Mii metri cubi, 35.4
Diverse specii tari, Salaj, Anul 1991, Mii metri cubi, 30.8
Diverse specii tari, Salaj, Anul 1992, Mii metri cubi, 33.9
Diverse specii tari, Salaj, Anul 1993, Mii metri cubi, 37.5
Diverse specii tari, Salaj, Anul 1994, Mii metri cubi, 32.1
Diverse specii tari, Salaj, Anul 1995, Mii metri cubi, 29.8
Diverse specii tari, Salaj, Anul 1996, Mii metri cubi, 34.4
Diverse specii tari, Salaj, Anul 1997, Mii metri cubi, 39.2
Diverse specii tari, Salaj, Anul 1998, Mii metri cubi, 28
Diverse specii tari, Salaj, Anul 1999, Mii metri cubi, 26.4
Diverse specii tari, Salaj, Anul 2000, Mii metri cubi, 26.7
Diverse specii tari, Salaj, Anul 2001, Mii metri cubi, 21.9
Diverse specii tari, Salaj, Anul 2002, Mii metri cubi, 30.4
Diverse specii tari, Salaj, Anul 2003, Mii metri cubi, 32.9
Diverse specii tari, Salaj, Anul 2004, Mii metri cubi, 36.4
Diverse specii tari, Salaj, Anul 2005, Mii metri cubi, 26.6
Diverse specii tari, Salaj, Anul 2006, Mii metri cubi, 43.4
Diverse specii tari, Salaj, Anul 2007, Mii metri cubi, 40.3
Diverse specii tari, Salaj, Anul 2008, Mii metri cubi, 43.7
Diverse specii tari, Salaj, Anul 2009, Mii metri cubi, 40.9
Diverse specii tari, Salaj, Anul 2010, Mii metri cubi, 34
Diverse specii tari, Salaj, Anul 2011, Mii metri cubi, 37
Diverse specii tari, Salaj, Anul 2012, Mii metri cubi, 39.1
Diverse specii tari, Salaj, Anul 2013, Mii metri cubi, 44.2
Diverse specii tari, Salaj, Anul 2014, Mii metri cubi, 41.4
Diverse specii tari, Salaj, Anul 2015, Mii metri cubi, 45.8
Diverse specii tari, Alba, Anul 1990, Mii metri cubi, 30.7
Diverse specii tari, Alba, Anul 1991, Mii metri cubi, 36.6
Diverse specii tari, Alba, Anul 1992, Mii metri cubi, 32
Diverse specii tari, Alba, Anul 1993, Mii metri cubi, 26.8
Diverse specii tari, Alba, Anul 1994, Mii metri cubi, 20.2
Diverse specii tari, Alba, Anul 1995, Mii metri cubi, 23.5
Diverse specii tari, Alba, Anul 1996, Mii metri cubi, 23.5
Diverse specii tari, Alba, Anul 1997, Mii metri cubi, 19.4
Diverse specii tari, Alba, Anul 1998, Mii metri cubi, 11.8
Diverse specii tari, Alba, Anul 1999, Mii metri cubi, 11.7
Diverse specii tari, Alba, Anul 2000, Mii metri cubi, 18.4
Diverse specii tari, Alba, Anul 2001, Mii metri cubi, 15.4
Diverse specii tari, Alba, Anul 2002, Mii metri cubi, 27.5
Diverse specii tari, Alba, Anul 2003, Mii metri cubi, 35.9
Diverse specii tari, Alba, Anul 2004, Mii metri cubi, 21.2
Diverse specii tari, Alba, Anul 2005, Mii metri cubi, 18.5
Diverse specii tari, Alba, Anul 2006, Mii metri cubi, 32.2
Diverse specii tari, Alba, Anul 2007, Mii metri cubi, 20
Diverse specii tari, Alba, Anul 2008, Mii metri cubi, 25.9
Diverse specii tari, Alba, Anul 2009, Mii metri cubi, 23.3
Diverse specii tari, Alba, Anul 2010, Mii metri cubi, 23.8
Diverse specii tari, Alba, Anul 2011, Mii metri cubi, 39.6
Diverse specii tari, Alba, Anul 2012, Mii metri cubi, 41
Diverse specii tari, Alba, Anul 2013, Mii metri cubi, 36.6
Diverse specii tari, Alba, Anul 2014, Mii metri cubi, 36.7
Diverse specii tari, Alba, Anul 2015, Mii metri cubi, 34.4
Diverse specii tari, Brasov, Anul 1990, Mii metri cubi, 58.2
Diverse specii tari, Brasov, Anul 1991, Mii metri cubi, 38.1
Diverse specii tari, Brasov, Anul 1992, Mii metri cubi, 27.3
Diverse specii tari, Brasov, Anul 1993, Mii metri cubi, 30.9
Diverse specii tari, Brasov, Anul 1994, Mii metri cubi, 28.5
Diverse specii tari, Brasov, Anul 1995, Mii metri cubi, 30.8
Diverse specii tari, Brasov, Anul 1996, Mii metri cubi, 39.9
Diverse specii tari, Brasov, Anul 1997, Mii metri cubi, 39.6
Diverse specii tari, Brasov, Anul 1998, Mii metri cubi, 38.4
Diverse specii tari, Brasov, Anul 1999, Mii metri cubi, 39
Diverse specii tari, Brasov, Anul 2000, Mii metri cubi, 41.3
Diverse specii tari, Brasov, Anul 2001, Mii metri cubi, 34.2
Diverse specii tari, Brasov, Anul 2002, Mii metri cubi, 47.1
Diverse specii tari, Brasov, Anul 2003, Mii metri cubi, 42.1
Diverse specii tari, Brasov, Anul 2004, Mii metri cubi, 50
Diverse specii tari, Brasov, Anul 2005, Mii metri cubi, 43.7
Diverse specii tari, Brasov, Anul 2006, Mii metri cubi, 41.5
Diverse specii tari, Brasov, Anul 2007, Mii metri cubi, 46.1
