
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Total, Sibiu, Anul 2011, Mii metri cubi, 504.6
Total, Sibiu, Anul 2012, Mii metri cubi, 492.4
Total, Sibiu, Anul 2013, Mii metri cubi, 501
Total, Sibiu, Anul 2014, Mii metri cubi, 482.1
Total, Sibiu, Anul 2015, Mii metri cubi, 483.6
Total, Bacau, Anul 1990, Mii metri cubi, 846.9
Total, Bacau, Anul 1991, Mii metri cubi, 757.5
Total, Bacau, Anul 1992, Mii metri cubi, 687
Total, Bacau, Anul 1993, Mii metri cubi, 697.3
Total, Bacau, Anul 1994, Mii metri cubi, 614.7
Total, Bacau, Anul 1995, Mii metri cubi, 663.5
Total, Bacau, Anul 1996, Mii metri cubi, 685.9
Total, Bacau, Anul 1997, Mii metri cubi, 672.5
Total, Bacau, Anul 1998, Mii metri cubi, 595
Total, Bacau, Anul 1999, Mii metri cubi, 648.4
Total, Bacau, Anul 2000, Mii metri cubi, 696.7
Total, Bacau, Anul 2001, Mii metri cubi, 694.6
Total, Bacau, Anul 2002, Mii metri cubi, 667.5
Total, Bacau, Anul 2003, Mii metri cubi, 752.9
Total, Bacau, Anul 2004, Mii metri cubi, 741.1
Total, Bacau, Anul 2005, Mii metri cubi, 680
Total, Bacau, Anul 2006, Mii metri cubi, 712.9
Total, Bacau, Anul 2007, Mii metri cubi, 758.2
Total, Bacau, Anul 2008, Mii metri cubi, 810
Total, Bacau, Anul 2009, Mii metri cubi, 822.9
Total, Bacau, Anul 2010, Mii metri cubi, 869.6
Total, Bacau, Anul 2011, Mii metri cubi, 883.3
Total, Bacau, Anul 2012, Mii metri cubi, 921.2
Total, Bacau, Anul 2013, Mii metri cubi, 950.7
Total, Bacau, Anul 2014, Mii metri cubi, 873.9
Total, Bacau, Anul 2015, Mii metri cubi, 845.3
Total, Botosani, Anul 1990, Mii metri cubi, 124.7
Total, Botosani, Anul 1991, Mii metri cubi, 121.5
Total, Botosani, Anul 1992, Mii metri cubi, 114.9
Total, Botosani, Anul 1993, Mii metri cubi, 103.6
Total, Botosani, Anul 1994, Mii metri cubi, 111.5
Total, Botosani, Anul 1995, Mii metri cubi, 114.1
Total, Botosani, Anul 1996, Mii metri cubi, 122.8
Total, Botosani, Anul 1997, Mii metri cubi, 125.2
Total, Botosani, Anul 1998, Mii metri cubi, 122.6
Total, Botosani, Anul 1999, Mii metri cubi, 114.3
Total, Botosani, Anul 2000, Mii metri cubi, 119
Total, Botosani, Anul 2001, Mii metri cubi, 128.2
Total, Botosani, Anul 2002, Mii metri cubi, 125
Total, Botosani, Anul 2003, Mii metri cubi, 130.2
Total, Botosani, Anul 2004, Mii metri cubi, 142.4
Total, Botosani, Anul 2005, Mii metri cubi, 134
Total, Botosani, Anul 2006, Mii metri cubi, 137.4
Total, Botosani, Anul 2007, Mii metri cubi, 130
Total, Botosani, Anul 2008, Mii metri cubi, 118.6
Total, Botosani, Anul 2009, Mii metri cubi, 115
Total, Botosani, Anul 2010, Mii metri cubi, 131.8
Total, Botosani, Anul 2011, Mii metri cubi, 118.5
Total, Botosani, Anul 2012, Mii metri cubi, 126.2
Total, Botosani, Anul 2013, Mii metri cubi, 161.4
Total, Botosani, Anul 2014, Mii metri cubi, 169.2
Total, Botosani, Anul 2015, Mii metri cubi, 139.7
Total, Iasi, Anul 1990, Mii metri cubi, 302.7
Total, Iasi, Anul 1991, Mii metri cubi, 263.1
Total, Iasi, Anul 1992, Mii metri cubi, 269.1
Total, Iasi, Anul 1993, Mii metri cubi, 248.2
Total, Iasi, Anul 1994, Mii metri cubi, 224.1
Total, Iasi, Anul 1995, Mii metri cubi, 206.1
