
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
Arad, X. Hirtie si articole din acestea, Luna decembrie 2015, Mii EURO, 1214
Arad, X. Hirtie si articole din acestea, Luna ianuarie 2016, Mii EURO, 1508
Arad, X. Hirtie si articole din acestea, Luna februarie 2016, Mii EURO, 1570
Arad, X. Hirtie si articole din acestea, Luna martie 2016, Mii EURO, 1702
Arad, X. Hirtie si articole din acestea, Luna aprilie 2016, Mii EURO, 1480
Arad, X. Hirtie si articole din acestea, Luna mai 2016, Mii EURO, 1686
Arad, X. Hirtie si articole din acestea, Luna iunie 2016, Mii EURO, 1850
Arad, X. Hirtie si articole din acestea, Luna iulie 2016, Mii EURO, 1994
Arad, X. Hirtie si articole din acestea, Luna august 2016, Mii EURO, 1499
Arad, X. Hirtie si articole din acestea, Luna septembrie 2016, Mii EURO, 1600
Arad, X. Hirtie si articole din acestea, Luna octombrie 2016, Mii EURO, 1952
Arad, X. Hirtie si articole din acestea, Luna noiembrie 2016, Mii EURO, 1600
Arad, X. Hirtie si articole din acestea, Luna decembrie 2016, Mii EURO, 1342
Arges, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2011, Mii EURO, 166
Arges, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2011, Mii EURO, 169
Arges, IX. Produse din lemn  exclusiv mobilier, Luna martie 2011, Mii EURO, 129
Arges, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2011, Mii EURO, 168
Arges, IX. Produse din lemn  exclusiv mobilier, Luna mai 2011, Mii EURO, 223
Arges, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2011, Mii EURO, 179
Arges, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2011, Mii EURO, 247
Arges, IX. Produse din lemn  exclusiv mobilier, Luna august 2011, Mii EURO, 207
Arges, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2011, Mii EURO, 280
Arges, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2011, Mii EURO, 372
Arges, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2011, Mii EURO, 289
Arges, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2011, Mii EURO, 232
Arges, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2012, Mii EURO, 75
Arges, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2012, Mii EURO, 267
Arges, IX. Produse din lemn  exclusiv mobilier, Luna martie 2012, Mii EURO, 126
Arges, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2012, Mii EURO, 204
Arges, IX. Produse din lemn  exclusiv mobilier, Luna mai 2012, Mii EURO, 248
Arges, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2012, Mii EURO, 134
Arges, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2012, Mii EURO, 269
Arges, IX. Produse din lemn  exclusiv mobilier, Luna august 2012, Mii EURO, 124
Arges, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2012, Mii EURO, 217
Arges, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2012, Mii EURO, 219
Arges, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2012, Mii EURO, 204
Arges, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2012, Mii EURO, 212
Arges, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2013, Mii EURO, 155
Arges, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2013, Mii EURO, 194
Arges, IX. Produse din lemn  exclusiv mobilier, Luna martie 2013, Mii EURO, 162
Arges, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2013, Mii EURO, 164
Arges, IX. Produse din lemn  exclusiv mobilier, Luna mai 2013, Mii EURO, 210
